username;title;date;region;text;stars
Ls;what r u waiting for?!?!?!?!?!?!?!?!?;December 23, 2023;United States;I’m in love!!!! Not so much with the price but with all of the extra time I have to myself. I was hesitant to purchase a $1600 vacuum/ mop, but after reading at least 50 reviews on multiple websites… I was convinced. It took a lot longer to arrive bc it shipped directly from Roborock in Arkansas via UPS, so don’t be surprised if Amazon gets the delivery date wrong. I have never owned a robot. I will say I have been tempted but I never believed they would actually do a good job. This product is amazing!!! She arrived Monday night at my house. I put her together (attached the ramp) and plugged her in to charge. I did put her in backwards, so pay attention to where the buttons r. They go inside the machine. I was met with an error 42 message that was not self explanatory. I wasn’t able to find a list of errors in the instruction manual and so I started to get really upset. Finally, I was able to find 1 person who got a response from Roborock. Pull out the robot, remove the brush and the filter to the rt (on the dock) and put everything back. That seemed to work. At least at that point I didn’t feel like I wasted a fortune on something that was broken when it arrived. I let it charge all night and found that it makes noise while it was charging. The next morning I downloaded the app and let it start mapping the house. I closed the door to the back bedroom bc that’s the room where everything goes to die and there is nowhere to even turn around in that room. The whole process took 14 minutes. I did notice that it has trouble distinguishing btwn inside and outside when it comes into contact with sliding glass doors with no shades. I eventually solved the problem by setting no go zones on the map. U can name each room and set up scheduled days for it to run. Some people said it vacuums only on certain days and than mops on others but I haven’t figured out how to set the different schedules so I just have it vacuum and mop Sunday Wednesday and Friday. She talks a lot so if u have a house that’s only 1 story… I don’t suggest running it while u r sleeping. I set her to run at 2:30pm on the days I know no one is home. I would suggest watching the cleaning videos on YouTube. Every so often u will have to flip over the robot and clean out the hair buildup as well as wipe out the dock. My boyfriend wants to do that project every 2 weeks so that she stays shinny and new. The directions show a picture of a faucet dropping tap water in the clean water tank. I live in Florida and we have SUPER hard water down here. Every 2 years I have to throw out my kitchen faucet bc the parts rot away. I would suggest spending the money on a jug of distilled water, but u will only get about 2 washes per gallon. My boyfriend and I can’t believe how clean the floor is at the house. The 1st time I just used water. The second time I added the recommended cleaning solution found on Roborocks website. It costs about $19 for the bottle but u only use about a cap full per full water tank. The app is really easy to use and u can watch the robot go back and forth on the app. It tells u how long it’s been running and the battery life. U also get a notification when it starts and finishes on ur cellphone. Some people said the dirty water tank can smell over time so when I return home each night I just dump it outside and rinse it out in the sink. The directions state that u should only run the vacuum the 1st 3xs but I don’t c a vacuum only button on the main screen. I only saw clean and when I pushed it off she went. She vacuums in the front and mops in the back. I thought she would vacuum the entire house 1st and than gonback over it and mop, but that’s not how it works. I only have 2 small microfiber mats in my house. She does make them a little wet when she’s ing them but almost not enough to notice. It does push those rugs around a little while it’s , so I the future I might stick them down or replace them with rugs that stick to the floor. I did throw out 2 throw rugs bc the robot kept trying to clean them and they were just getting bunched up. It went under my ikea cabinets bc they r all on stilts. I was sure that it wouldn’t fit but by golly she made it in and out without any trouble. The floor under my bed that was full of dust is now shinny, but to be fair I gave it a quick wipe b4 she started the master bedroom. My parents are now considering buying another company’s model bc I’m soooo happy with mine. I did warn them that other reviews mentioned owning many other models over the years and felt like they wasted their money. I’m glad I decided to spend the money bc I love coming home to a spotless, shinny floor. Hopefully having the floor cleaned more often will force me to keep the rest of the house cleaner. Don’t wait just buy this product and make ur life a whole lot easier than it should be. Give urself the chance to do something else with that 1 1/2 u r gonna gain not vacuuming and mopping ur house. I have been telling all of my customers about my new toy and how much I deserved it. 1 lady told me she had a Roborock vacuum only model and that she loved it. It is awesome that u can watch the mop on the app as it goes around ur house… everytime I get a notification that it is starting… I wait about 45 minutes and than I turn on the app to see what she has already accomplished and its invigorating. Also all of the people I have spoken to who say they have a robotic vacuum/mop have NEVER and I repeat NEVER used the mopping function on their vacuum… and the reason…….bc they have to add an attachment to the robot to turn it into a mop… with the Roborock its already done for u. All u have to do is add the water. It fills itself. It empties itself. It cleans itself. It never gets stuck. It dries itself…. What are u people waiting for other than a sale… go buy this product today and wait the week for it to arrive so u can add precious time back to ur life! It took me a couple of days to complete this review to make sure I got every positive thing I could remember about it. I hope this review was helpful.;5
Jenniferc9695;Perfection Has Arrived;April 14, 2024;United States;"I love my old Roborock. Actually it's not even super old. But with this S8 Pro Ultra, they have fixed a few things that drove me crazy. 1- Black lines on the carpet are no longer mistaken as drop offs. My rugs have bold black lines in the pattern, and I almost got rid of them with the S7, even though I love them. With S7 I had to have my rugs blocked out as no go zones because machine was going to get ""stuck"" and call for help. You can imagine that with 3 dogs, this was aggravating. S8 goes right over the same lines without a problem. 2- Automatic mop wash and dry, with onboard storage of both fresh and used mop water. With S7 I had to fill the water bin every day, and I felt I also needed to remove and scrub the mop pad. 3- Smart threshold detection. I have a piece of trim running across the seam where my hardwood ends and kitchen tile begins. It isn't a huge height, but S7 fought with it and wasted a lot of energy and made a lot of noise trying to get over it. S8 kind of worked for it the first few cleanings- but then it sent me a notification. It had detected the ""threshold"". I verified the threshold location on the map, and whatever it does differently now is working. No more fights to get over the lip. S8 Pro Ultra is BIG because of the water storage tanks. But this was expected and is perfectly fine with me. Keep them coming Roborock! I just know that someday you'll have a robot vacuum who does stairs. Lol.";5
ctw;Works as stated;April 14, 2024;United States;;5
Dave;Awesome vacuum, offensive customer support;September 8, 2023;United States;"The vacuum does a great job when it is working. After 3 weeks I started receiving errors after every time I used it. Their customer support sucks. After attempting to troubleshoot it they told me to send it back. They essentially told me to film myself giving the return package to the delivery person and if it gets lost in the mail then they will attempt to help me. Instead of jumping through all their hoops and gambling on shipping the product back and hoping nothing happens to the package along the way I decided to work with Amazon for a replacement which was a much more comforting experience. The other reviews about the extended turnaround/repair time also scared me into not wanting to deal with their support any longer than I had to. Here is the Roborock's customer support message containing the return instructions. Judge it for yourself: "" Hi there, Thanks for your reply. Attached file is UPS prepaid label you could print out to ship the device to us. The shipping label doesn't include a box. Please ship out the device with original package if you still have it. If not, you can find a suitable size box and put some bubble wrap or waste newspapers inside to protect the robot. If the robot is damaged during shipping, we are afraid we won't be responsible for it. Remember to tell us after you ship it out, otherwise we won't know it's delivered. The label is valid for 7 days. You need to use it before it's expired. If the label is expired, we are afraid we couldn't provide you a new label anymore and you need cover the fee to ship the device to our repair center. If you ship back the device by yourself after the label gets expired, you need to update the carrier and tracking number to us once you've shipped it out. Note: 1. The repair center won't accept any package whose tracking info isn't told us in advance. 2. Remember to ship the device with all accessories (including charging dock). If the vacuum tank is removable, empty it before shipping. Also, if you have a clean tank and a dirty tank on the dock, please empty them as well. 3. The warranty doesn't apply to a Roborock product that has been modified to alter functionality or capability without the written permission of Roborock. 4. Please make sure to send back the correct device. Our warehouse will check the SN and if it is different, the device will be returned to you. You will need to cover the shipping fee and ship back the correct device by yourself. 5. We will send you a replacement after our warehouse confirms they receive the correct item. Warm Tips: We have received a lot of empty packages lately and we are unable to proceed with the refund, replacement or repair service. To avoid any loss on you, we suggest you do the following three things when shipping out the device: 1. Keep the carrier's receipt. 2. Shot a video to show the delivery person picks up the Roborock product. If there is anything wrong with logistics, but the above has been done, we can contact carrier to help you. """;1
Heather;Super pleased with this product;May 4, 2024;United States;;5
J. Dyer;Clean floors and hyper accurate mapping;February 9, 2024;United States;I’ve had many robot vacuums, high-end iRobot and Neato robots (until they totally lost the plot) and this one is by far the best yet. The mapping capabilities are outstanding: fully mapped 2400 sq feet in under 9 minutes and the map was perfect the first time. Unlike the iRobot mapping, the Roborock doesn’t make the maps worse with each clean, it only improves the maps with new detail (an open door for example). The quality of the cleaning, especially the mop is surprisingly good. Since it cleans the mop head it’s not just pushing around wet dirt. I’ve noticed a considerable improvement in cleanliness running the mopping nightly in my kitchen after dinner. The floor stays bright and clean. I have tile and it doesn’t do much on the grout, I can see it’s going to need to be manually cleaned but that’s trivial compared with o the overall clean of the floors. It does well on carpet too, and coping with area rugs. It’s sensitive to where a rug ends and turns on the mop when it’s off the rug. A complaint about vacuuming tiled areas is that it reduces the suction power and can miss bits between tile and a rug but it’s a minor complaint. I’ve owned the vacuum for 3 months and so far it’s been 100% reliable, it got stuck once on a cat toy, but avoided every other obstacle exceptionally well. There’s been very little wear on the wheels or brushes that I can see so far. I use both plain water and about half the time add cleaner to it. The cleaner is crazy concentrated so a bottle would last probably a year or more for me. Hopefully for the price this unit lasts for several years. I have my vacuum docked in a place that has carpet and found that it cannot realign on carpet well enough to dock to clean the mop. My solution was to put a board down and cover it with contact paper (to keep the minimal water off the board). My board extends one robot-length in front of the charging station and the robot can reposition itself for mop cleaning perfectly now. Something to consider if you can’t put the base on tile or wood floors. The app works well and is easy to use, no complaints there at all for usability but it sends a notice that a cleaning run was completed every time. This is silly, I only need to see a notice when there was a problem. It’s a minor annoyance but makes it harder to look through the message log for problems when it’s overwhelmed with trivial ‘successful’ messages. You can’t mute the voice prompts, but you can turn their volume way down.;4
L. H.;Worth the $;April 22, 2024;United States;I moved my other brand robot floor cleaner to the second floor after a few weeks of having this work for me. This one is impressive. I schedule my main room floors to be cleaned where the most traffic occurs every night. The setting is on quiet so it does not disturb our sleep. (The self emptying sound is louder but for me the dock is in the opposite end of the house.) I use the super vacuum setting for the wall to wall carpeting. It's helped my rug to look so much better. I start the machine as needed for other floors in the house. The self cleaning mop works very well. I have been inspired to find other places for boxes that were stored under furniture now that my floors look so good. The roborock is very good at avoiding obstacles that were not there when mapping or even the last time it cleaned. I would buy it again.;5
Ashley;Worth every penny!;April 14, 2024;United States;I recently moved into a bigger house with an open floorplan and all tile floors. With kids, dogs, and cats, I was wondering about how I was ever going to keep the floors halfway clean. I was looking at basic robot vacuums and then was looking at the mop by the big brand name competitor, but the reviews were just so so and I hated having to have multiple devices. I came across this machine and balked at the price, so I kept scrolling... except I kept coming back to it so I finally closed my eyes and clicked add to cart.;5
bogometer;Pricy vacuum that is worth the money;April 24, 2024;United States;;5
Elliott;I'm in love;May 5, 2024;United States;;5
