username;title;model;verified;date;region;text;stars;id
John Craig;Handle welds broken;Pattern Name: Strainers;Verified Purchase;March 15, 2024;United States;"
The 2 spot welds on the medium strainer broke within a month and the handle fell off.I've purchased this set before without issue, and the price point is low, so not a big deal. But I'll shop around for future gifting.
";3.0;B007TUQF9O
vab423;Meh quality;Pattern Name: Strainers;Verified Purchase;March 2, 2024;United States;"
They are *Cuisinart* branded, so I expected something a little (a lot) better made. I've only used the big and medium strainers lightly, hand washed and the silver plating is coming off on the handle. But they were inexpensive and do the job of straining stuff.
";3.0;B007TUQF9O
Aerie Day;Spot welds on 8” strainer handle not nearly strong enough;Pattern Name: Strainers;Verified Purchase;February 4, 2024;United States;"
After two plus years the spot welds were no longer viable on the larger 8” strainer. Since it is the one I use the most, its structural deficiency was most annoying. I’m going with a different strainer that has rivets holding the handle to the strainer head.The other two, smaller strainers have not been a problem, but I fear that in time they will be.
";3.0;B007TUQF9O
MaggiePie;Very nice strainers but be careful;Pattern Name: Strainers;Verified Purchase;February 1, 2024;United States;"
The metal has very sharp edges where the handle is attached. I already cut my finger when I was towel drying. Haven't tried yet but hopefully I can use a metal file to smooth the edges. Would have rated 5 stars otherwise.
";3.0;B007TUQF9O
Emma E.;Pain to clean;Pattern Name: Strainers;Verified Purchase;December 31, 2023;United States;"
These work just fine and everything but they have a lip between the metal circle frame and the strainer mesh and everything gets caught in there and it makes them really annoying and difficult to clean.
";3.0;B007TUQF9O
BSEE1978;Nice but handle attachment is weak;Pattern Name: Strainers;Verified Purchase;February 4, 2024;United States;"
Very nice strainers, but after a while the spot welds give up and the handles fall off.
";3.0;B007TUQF9O
LD;worked great for the first several times... until the handles snapped off;Pattern Name: Strainers;Verified Purchase;December 23, 2023;United States;"
the tack welds are not strong enough for the largest strainer to hold more than maybe 8 oz in the strainer.  I gave it a gentle shake up and down under the sink when rinsing some lentil and the handle snapped off, first one then the other, over several uses.
";3.0;B007TUQF9O
EAJoseph Design;Strainer Hangs from Handle - Brand New;Pattern Name: Strainers;Verified Purchase;January 3, 2024;United States;"
I received these strainers a couple days ago. They're beautiful and because they're Cuisinart, I thought I'd have them for years to come. The only thing I've strained with the large piece is a cup of flour for baking. Apparently, 120g of all-purpose flour is too much for the large strainer to handle because the tack welds (I'm sure it's soldered and not welded, though) broke loose. The head hasn't yet detached from the handle but I could easily break it loose by setting it down in the wrong position.I'm pretty disappointed in my purchase. I bought these instead of an off-brand because of Cuisinart's great reputation.Also, why can't I just contact the seller via Amazon!? I don't want to use the website. I bought the junk here on Amazon and get annoyed when sellers throw you around to 20 different places (probably because they figure you'll rage quit, give up, and just keep whatever useless item(s) you purchased). Now I'm here wasting my time writing a crappy review when I'd rather just be able to use my simple strainers. How difficult is it to tack-solder, Cuisinart? Really?
";2.0;B007TUQF9O
J. R. M.;Can the handle be superglued;Pattern Name: Strainers;Verified Purchase;October 10, 2023;United States;"
Worked well for a few months.  Then the spot weld on one side of the handle broke off -- rendering this strainer useless.The spot weld is so tiny and additionally a weak weld.  Made in China.On the other hand, I love my Cuisinart 11 cup food processor.But this strainer is not worthy to bear the Cuisinart brand name.  Such a disappointment.I may try to use one of the epoxy metal super glues to repair the handle.
";3.0;B007TUQF9O
Lbuck;Handy but not as stout as I would prefer;Pattern Name: Strainers;Verified Purchase;November 25, 2023;United States;"
I like the 3 sizes and these have been a good addition to my kitchen. These just aren't as sturdy as other brands I have purchased in the past.  They do work well however and I'm generally satisfied
";3.0;B007TUQF9O
C. Hammer;Broke after a year of use;Pattern Name: Strainers;Verified Purchase;December 17, 2023;United States;"
Not very durable. Handle broke off after 1 year of use
";3.0;B007TUQF9O
Johanna;Came flattened;Pattern Name: Strainers;Verified Purchase;March 17, 2023;United States;"
The strainers arrived flattened and out-of-shape, which was disappointing. I used the back of a wooden spoon to round out the screens, which worked well, and the items held up under the pressure. The handles are nice and long, and help the strainers lay flat on bowls and pots while pouring liquids into another receptacle. As with any strainer, holding them upside down over a stream of hot water and then laying them flat on a dishwasher rack in a normal cycle gets bits of food out, and gets them clean. This type of tight mesh is designed to clarify broths, or for light duty, such as straining 1-2 servings of pasta. These items are not meant to be used to hold a couple of pounds of food from when draining a pot full of rice, boiled chicken and vegetables for soup, or bones for broth.
";3.0;B007TUQF9O
YW;Handle fell off;Pattern Name: Strainers;Verified Purchase;December 13, 2023;United States;"
Recently, my son asked me to get him a Cuisinart 3 bowl set for Christmas and I realized that I bought the strainer set and the stainless steel bowl set in December 2013.  My husband and I use the stainless bowls every day and had no issues even with the lids for 10 years.  However, the handle of the largest strainer fell off years ago and there is a gap in quality between these two products.I am not sure how long the strainers should last without quality issues like what I experienced but not happy with the strainer set considering how long the stainless bowl set lasts with even a single scratch or rust for such a long time.
";2.0;B007TUQF9O
stella;They will do the job but may not last long;Pattern Name: Strainers;Verified Purchase;October 28, 2023;United States;"
Surprisingly cheaply constructed. They will work but I am not sure for how long. Disappointed in Cuisinart for producing something so cheap.
";3.0;B007TUQF9O
Nate McCurdy;Affordable, but not very sturdy;Pattern Name: Strainers;Verified Purchase;August 17, 2023;United States;"
These are fine strainers, but they're not very sturdy.Cons:* The mesh appears to not be attached at all points which means it'll pull out at some point.* Quite a bit of flex where the handle meets the strainer.Pros:* Affordable for a 3-pack.
";3.0;B007TUQF9O
Paul K.;Does the job for awhile;Pattern Name: Strainers;Verified Purchase;September 19, 2023;United States;"
They're fine, but the largest one lasted just under 2 years before the handle broke off. It's just connected by 2 small weld points so I guess after shaking the water out of food it weakens.
";3.0;B007TUQF9O
