username;title;model;verified;date;region;text;stars;id
columbia93;Battery doesn't last very long & forget about using the case if you want to take photos;Digital Storage Capacity: 32 GBOffer Type: With Lockscreen AdsColor: BlackStyle: Amazon Fire HD 10;Verified Purchase;April 6, 2024;United States;"
This is my 3rd Fire 10 Tablet. They have a real sustainability problem and die before having them 3 years. Luckily it's not too expensive or I wouldn't bother. I'm already having to have this tablet replaced after less than a week, but Amazon's customer service was very helpful with it. Here's my thoughts in no particular order.1. Like the lilac color & that the covers have a translucent back.2. This tablet is nearly an 1"" smaller than my previous Kindle. Don't have a clue why, especially when tablets are now trending to 11"" because of the OS. Feels heavier, too.3. Because of the good deal on the 64MB, I purchased that and - finally - Kindle makes a bit more sense. With all of the bloatware you can't get rid of, especially the kid stuff when there is no kid in the house, I literally could only download a handful of apps. I can download so much more and still have room!4. The On/Off button has been moved to the left side. I don't get this. With the majority of people being right-handed, I don't understand why it was moved to where you have to reach across the tablet...especially if you want to take a screenshot.5. If you want to use the camera on the back, you'll have to remove the tablet from the cover. I can't recall where the camera was on the previous tablet because I didn't have a cover for it. Now, the lens is on the same side as the On/Off, which means when you fold back the cover, the lens is covered up! Who in the world didn't test this? The point of a cover is to make it easier to handle & provide some protection and in an action that literally is the riskiest move to make w/a tablet, Amazon has rendered either the camera useless, or the cover. I'd really like to know what they were thinking on this one.6. Battery life: Not good at all. Like I said, I've had 3 previous tablets - one 7"" and 2 10"" - and there's been a definite trend downward on battery life. I'm on it for several hours cumulative per day - playing a few apps, reading, ""X""...and I have to recharge at least once a day. It also feels like it takes a lot longer to charge than my previous tablet. I've had this plugged in for about 40 mins and it's gone from 13% to 28%. That's not great.7. A lot of apps are not longer viable. I don't think this is an issue with Amazon, just an issue with the new OS and developers not keeping up, so I'm guessing a lot of new tablets are having the same issues. Kinda sad. Some of these apps I've been playing for years and years!8. It took 10 days to arrive. I could have ordered some weird brand tablet and have it delivered literally that afternoon so I'm truly befuddled as to why ""2-day Delivery"" Amazon would force Fire purchasers to sit on their hands for that long. My tablet was in ""Order"" mode up until the evening before it was scheduled to be delivered. Why? We have a distribution center very near so...My mom has a Fire 10, I think 12th Gen, so I'll check this against hers, especially w/charging. Also, since my tablet appears to be defective, if this changes with the replacement, I'll update the review.  Again, this is just my thoughts on it and those things that bug me may not bug you!UPDATE: Amazon being Amazon. They lied. They won't ship it until Monday. So much for a responsive Customer Service. Removing a star.
";3.0;B0BHZT5S12
Deirdre;Comic Reader Perspective;Digital Storage Capacity: 32 GBOffer Type: With Lockscreen AdsColor: BlackStyle: Amazon Fire HD 10;Verified Purchase;April 11, 2024;United States;"
I picked this up as an inexpensive Comixology-focused tablet primarily because of the inability to purchase from the Kindle store on iOS. For that purpose, the tablet serves pretty well. It's fast enough, can purchase directly from the Kindle store, and has expandable memory. If you're interested in also using third party comics subscription apps like DC Universe Infinite or Marvel Unlimited, however, you're not going to be happy. The locked down nature of the Kindle Fire HD 10 means you cannot install those apps without jumping through some hoops that I don't personally consider worth the effort.  Comixology Unlimited has a lot to offer, so it's not entirely a deal breaker, but this limitation can keep the Kindle from being your primary tablet for digital comics if you're a a subscriber to those other services. Three stars for its functionality. However...The Fire HD 10 is a cheaply made tablet. I knew that going in, but I didn't expect it to fail on me within a week of my purchase. After less than a week of ownership, I went to use it one day and as soon as I unlocked it, the screen rapidly faded to black and became unresponsive. I could occasionally wake it up, but the fade to black would still happen, which made it essentially useless for reading or watching anything. Occasionally it would mix it up and fade to a bright white, but in every case the tablet was useless. I tried to RMA for an exchange, but the automated system claimed that the HD 10 was sold to me by a third party seller (not the case) and that I would need to send it back, have a refund issued, and then buy another if I wanted. Having not had time to ship it back to Amazon, I experimented with it over the course of the next few days and was able to stabilize it with some percussive maintenance and made the decision to hold onto it.So what's WRONG with the HD 10? It's cheaply made. If the casing flexes in the right (wrong) way in your bag, presumably some connections become flakey and it affects the functionality of the display. If you're dead set on buying this tablet, I recommend a nice rigid case to protect it, because at the end of the day it's a bit fragile. I certainly didn't beat mine up, it simply couldn't handle a couple of bike commutes in a messenger bag. If you're okay with being soft locked into Comixology/Kindle and are okay with putting it into a heavier-duty case then I think this is a nice tablet for the price when you can pick it up on sale.
";3.0;B0BHZT5S12
Paris;It's like a cool toy...;Digital Storage Capacity: 32 GBOffer Type: With Lockscreen AdsColor: BlackStyle: Amazon Fire HD 10;Verified Purchase;April 18, 2024;United States;"
I have had Samsung Galaxy products for years, but those are getting rather expensive. So I got this the other day for entertainment. It is definitely not android, but it's cool. It actually moves pretty fast, probably because it doesn't have as much unnecessary software as Galaxy products. This tablet is definitely primarily for reading and streaming. The three buttons on screen (back, home, recent) look so old and simple, but they work. The screen is pretty good too, not as good as the Galaxy A7 screen, but definitely functional. Its not the most responsive, but you may have to tap twice on more specific areas or text, again it feels like it's made for kids or older people. The tablet itself feels like a nice toy. It's very light, and feels almost hollow. It's definitely not a cutting edge innovative design. But it's not for that. This is a nice tablet for daily reading, entertainment streaming, kids, or in my case, going on a trip and I don't want to take my Mac Book. I can't imagine doing any kind of actual productivity work on this. But this is a fantastic extra curricular device for reading, streaming videos, or some light writing if you have the keyboard attachment. If you have kids, or expect to carry this around with you, or put it in bags, you need some kind of case because it doesn't seem too durable. BUT at this price...if you break it, or lose it...just get another one LoL I definitely would.
";3.0;B0BHZT5S12
Simone;Do not purchase the tablet with home screen Ads!;Digital Storage Capacity: 32 GBOffer Type: With Lockscreen AdsColor: BlackStyle: Amazon Fire HD 10;Verified Purchase;April 8, 2024;United States;"
I purchased the tablet with Home Screen Ads because it was cheaper, but it’s been a complete nightmare. I needed a tablet for my daughter to use for educational apps that I purchased, so I didn’t want anything fancy or too expensive. After all, she has other devices to use for playing games & etc. I’ve purchased several Fire tablets in the past and never had an issue until now.The first night my daughter used it, she kept complaining about ads, but when she showed it to me, there weren’t any ads popping up.Today, I grabbed her tablet during my downtime to download the apps and set up Night Zookeeper on her tablet and it was ad after ad! I couldn’t do anything without an ad popping up every 20 seconds. Every time I clicked on a page or app, an ad would pop up!!!!I placed a return and found out I need to box it up with the label before returning. The tablet came in a Amazon bag. So now I now I have to spend extra money to return it. Waste of time!
";3.0;B0BHZT5S12
R2;Big and heavy compared to previous Fire;Digital Storage Capacity: 64 GBOffer Type: With Lockscreen AdsColor: BlackStyle: Amazon Fire HD 10;Verified Purchase;April 21, 2024;United States;"
Updated review: now that I've had a day to actually use this new Fire, I don't like it very much. As stated below it is big, heavy and awkward to hold while sitting. The font sizes are limited and some look way too tiny for such a big tablet; if you choose the largest of five, then some thing like ebooks are HUGE while the icons are a good size. I am so disappointed that I wish I hadn't let the return window expire, even though i bought this on sale. I guess I'll be it to a family member.I bought this newest Fire to replace my much loved and very used kindle fire from the previous version when itarted to get a bit glitchy from being dropped so many times. Definitely larger and definitely heavier. Not nearly as portable as the other Fire because unfortunately, it is too big to go in most of my purses! Sad face. Therefore it's not really getting used as it's pretty heavy for arthritic hands to hold to read books but if you want it to watch movies/stream content from the web, this new Fire is a good choice.
";3.0;B0BHZT5S12
Shannon Harper;Cheaply made…;Digital Storage Capacity: 32 GBOffer Type: With Lockscreen AdsColor: OceanStyle: Amazon Fire HD 10;Verified Purchase;March 5, 2024;United States;"
This is my 3rd Kindle Fire…I think the previous 2 were the 8 and 11.  Both of them ended the same way—one day they just wouldn’t wake up.  No drops, extreme temps, children using them, wrapped in cases their entire lives….just dead after about 3 years.  So it was time to order a new one.  Ordered the newest one (13th gen).  First thing I noticed was the 1st time I had to replace Amazon sent me a box to ship the old one back in and a discount on the new one—this time only the discount.  On my own for the box.  Last time it was delivered practically overnight—this time had to wait 4 days.  Not a super long time except for the fact there is an Amazon distribution center less than 5 miles from my house.  I finally get it and open the box…one of the things that is hyped up is how light it is.  It is very light—but it feels cheap because the plastic feels a lot thinner.  I ordered a case for it that has the light magnet just for closing purposes.  First thing that happens is one of the metal tabs comes off the kindle and is stuck to the case.  Seems to work ok but I am not holding out hope that this Kindle will last as long as the last two.
";3.0;B0BHZT5S12
Shervin;Right Size | Includes 3.5mm Audio Input + USB-C | No Simultaneous Charging & Accs Support;Digital Storage Capacity: 32 GBOffer Type: With Lockscreen AdsColor: BlackStyle: Amazon Fire HD 10;Verified Purchase;January 27, 2024;United States;"
I downgraded from the Max 11 2023 latest version because that version was simply too big, had only one USB-C input that you could ONLY use for either charging or connecting an accessory. It also had tons of bugs with touchscreen such as scrolling up and down with your fingers being mistaken as a click. At one time I lost the touchscreen completely. The unit was not responding to anything. I had to connect a wired mouse via USB-C to get the unit to restart and resolving the issue. Otherwise, the unit would be locked out completely. There is no external reset button on that model either.This one (Version 10, 2023) that I am reviewing here doesn't have the above issues, smaller but the right size and manageable specially for closeup work and applications. I found the Max 11 to be too big.  However, the issue with lack of support for simultaneous charging and connecting a wired accessory via a USB-C splitter adapter remains. You have to only use bluetooth accessories like the one Amazon want you to use. This is a terrible and dreadfully limiting feature.Forcing the user to only use  bluetooth means they have to discard perfectly serviceable wired accessories that would otherwise work with the unit. Bluetooth is not always desirable or convenient plus it adds further risk of radiation exposure that is otherwise eliminated with a wired accessory.  Some people can actually get headaches when exposed to a close and constant sources of bluetooth emitting devices. There are also security issues that are beyond the scope of this review.In the next variant of this product, Amazon should build a simultaneous support for charging and adding an accessory via its only USB-C input via a adapter like the one I've attached a photo of or simply offer several USB-C inputs; one for accessory, one for charging.In my case I have a wired keyboard that is super ergonomic with built in USB inputs of its own that allow you to connect a mouse directly into it, hence you only need one input into any device to use both keyboard and a mouse without the needing of several inputs. The keyboard pass on any USB device connection connected to it to a device you connect it to.  With this current version, you can only use an accessory or charge, not both.
";3.0;B0BHZT5S12
RaisinBran;Disappointed in this version of Fire tablet.;Digital Storage Capacity: 32 GBOffer Type: With Lockscreen AdsColor: BlackStyle: Amazon Fire HD 10;Verified Purchase;February 26, 2024;United States;"
I have purchased 6 Fire tablets over the years. They have all been reliable workhorses and excellent devices for movies, music and media. I have used my Fire 8 for heavy work research and extremely active social media and blog posting. No, you can't use these devices to edit films or create graphic art like iPads, but you get a ridiculously great value for top notch media consumption and reliable performance for all web browsing.Until now.I am so disappointed in this version of the Fire tablet.  The audio is substantially worse than previous versions, including audio from plugged in headphones and earbuds, not just the device speaker.The performance SUCKS. I've had my device for only one day and I've had to reboot 6 times because Audible freezes and won't play. Audible!? Audible is a standard Amazon app that should be fairly bulletproof at this point in Fire tablet history.I also really dislike the new nightshade filter. The almost orange-brown hue of previous tablets actually worked to block blue light. Many of us with light sensitivity issues appreciated that old filter. Yes, it made the screen orange, but it also REALLY prevented eye strain. The new tablet is vaguely amber, similar to the Iphone night shade, and does nothing for my sensitive eyes, even when turned up to the max level.  Others likely find the new night shade appearance an improvement over the former orange screen, but I miss how soothing it was.The new Fire also has terrible connection to WiFi.  Nothing in my house has changed but unlike previous tablets this one can't stay connected.  I even sat right next to my WiFi hub, and the device kept dropping connection.I've noticed a lag when typing, too, that no other tablet had.If you have never owned be previous Fire tablst you might not notice the changes, but if you've loved your previous versions, dont get this ""upgrade.""UPDATE:It is not just my Fire 10 device.  I spoke with 2 friends who ""upgraded"" -- one for their children and one for an older mom.  The speakers and internal audio on all devices are USELESS.  Kids can't hear movies in the car and barely in quiet room unless right up against speaker. No headphones or ear buds can be turned up loud enough.  My friend's older mom with audiology-measured MILD hearing loss (no hearing aid required) can't understand language unless holding device speaker up to her ear, which negates how she wanted to use it for Alexa, Zoom calls and YouTube recipes in the kitchen.I still have a functional Fire 7. The speaker can be heard in the next room. The 8 I still have in my office is great for music and videos. Not as good as the 7, but still functional. Both Re on par with my iphone 14 and gaGalaxy phone speakers. To use the Fire 10 I and the two others I know with this version have to connect to external bluetooth speakers.Amazon devices keep getting shortchanged from their original offerings. My daughter's 7 year old regular kindle has better text visibility than my new one.  How much profit is enough, Amazon?The other bugs in the 10 continue to frustrate me. Audible  won't consistently work, the device crashes, text input often lags.Get the 8 instead! And hopefully Fire's next iteration won't suck.
";2.0;B0BHZT5S12
Keep Trying;Audio is inadequate and distorted.;Digital Storage Capacity: 64 GBOffer Type: With Lockscreen AdsColor: OceanStyle: Amazon Fire HD 10;Verified Purchase;April 22, 2024;United States;"
Traded in my Fire 10th gen 8"" because the battery was not lasting as long any more. The price was so good I bought this 13th gen Fire 10.1"" tablet. The old one fit in one hand and the speakers - although not perfect - were clear enough to listen to podcasts at night, when turned up to maximum volume. The new one is heavy and too big to hold comfortably in one hand. The worst part is max volume is not loud and some podcasts are so distorted that I no longer understand the words. I now find myself using a MOTO power phone to listen to the podcasts. The sound from this tiny in comparison device is infinitely better. That is why 3 stars at best. Please upgrade the speakers to something reasonable. Also cannot use this for Babbel language practice. Volume is too low to hear clearly. Almost makes this a brick without a purpose.
";3.0;B0BHZT5S12
buds_4;Make sure this device aligns with your expectations;Digital Storage Capacity: 64 GBOffer Type: With Lockscreen AdsColor: BlackStyle: Amazon Fire HD 10;Verified Purchase;April 16, 2024;United States;"
I bought this tablet because, with discounts, it was cheaper than upgrading my Kindle.  As a reader with added features, it is fine. It's a nice piece of hardware.  But with all that this is capable of, Amazon has chosen to limit its capabilities.  The SD card is not only formatted in FAT32, but it is useless in any other device.  So transferring any data at all from another device my not be impossible, but it is so difficult as to be impractical.  Android apps at Amazon cost as much as 4X what they cost at Google Play.  Why?If you need a fully functioning tablet that allows you to use it in the manner that you choose, then find an alternative, even if it costs more.  If you just want to access your kindle library and other media from Amazon, then this will please you.
";3.0;B0BHZT5S12
