username;title;model;verified;date;region;text;stars;id
Dave;Awesome vacuum, offensive customer support;Color: Black;Verified Purchase;September 8, 2023;United States;"
The vacuum does a great job when it is working.  After 3 weeks I started receiving errors after every time I used it.  Their customer support sucks.  After attempting to troubleshoot it they told me to send it back.  They essentially told me to film myself giving the return package to the delivery person and if it gets lost in the mail then they will attempt to help me.Instead of jumping through all their hoops and gambling on shipping the product back and hoping nothing happens to the package along the way I decided to work with Amazon for a replacement which was a much more comforting experience.  The other reviews about the extended turnaround/repair time also scared me into not wanting to deal with their support any longer than I had to.Here is the Roborock's customer support message containing the return instructions.  Judge it for yourself:""Hi there,Thanks for your reply.Attached file is UPS prepaid label you could print out to ship the device to us.The shipping label doesn't include a box. Please ship out the device with original package if you still have it. If not, you can find a suitable size box and put some bubble wrap or waste newspapers inside to protect the robot. If the robot is damaged during shipping, we are afraid we won't be responsible for it.Remember to tell us after you ship it out, otherwise we won't know it's delivered.The label is valid for 7 days. You need to use it before it's expired. If the label is expired, we are afraid we couldn't provide you a new label anymore and you need cover the fee to ship the device to our repair center.If you ship back the device by yourself after the label gets expired, you need to update the carrier and tracking number to us once you've shipped it out.Note:1. The repair center won't accept any package whose tracking info isn't told us in advance.2. Remember to ship the device with all accessories (including charging dock). If the vacuum tank is removable, empty it before shipping. Also, if you have a clean tank and a dirty tank on the dock, please empty them as well.3. The warranty doesn't apply to a Roborock product that has been modified to alter functionality or capability without the written permission of Roborock.4. Please make sure to send back the correct device. Our warehouse will check the SN and if it is different, the device will be returned to you. You will need to cover the shipping fee and ship back the correct device by yourself.5. We will send you a replacement after our warehouse confirms they receive the correct item.Warm Tips:We have received a lot of empty packages lately and we are unable to proceed with the refund, replacement or repair service. To avoid any loss on you, we suggest you do the following three things when shipping out the device:1. Keep the carrier's receipt.2. Shot a video to show the delivery person picks up the Roborock product.If there is anything wrong with logistics, but the above has been done, we can contact carrier to help you.""
";1.0;B0BVB5PTDK
ryan flournoy;Actually Not That Great;Color: White;Verified Purchase;March 11, 2024;United States;"
My dogs rarely make a mistake inside but this does not recognize pet messes and it will spread poop. The mop portion isn't good at all. My floors are hand scraped wood so it's wavy and the mop cannot get in the very shallow valleys so I have to clean the dog paw prints myself. The vacuum portion isn't great at all. I frequently have to go over areas with a stick vac that performs far superior. It gets stuck on cords, shoe laces, corners of rugs, socks, t-shirts, in actual corners with no obstruction, kitchen tables, chairs, etc. I've had to move it away from a corner because it thought there was a cliff or it was out of bounds.For the price I would not purchase this again. You set it to run while your out and 5 minutes in it's stopped because it thinks your living room suddenly developed a cliff or a sock that the dog pulled out clogged the rollers. Then it needs to charge again because just sitting there giving an occasional notification is enough to burn the battery down. Which brings me to my final point, it cannot clean the 1400 Sq. Ft. area without running out of battery. So it docks, charges, then kicks off again several hours later once it's charged. Why bother with a schedule if it's gonna clean throughout the day because the battery is weak?
";3.0;B0BVB5PTDK
Tanmay;Will not connect to wifi if the password has special characters;Color: White;Verified Purchase;November 27, 2023;United States;"
I was forced to change my wifi password to not use any special characters (which is recommended to make the password stronger) there by having to choose a weaker password. Moreover had to reconnect over 70 devices (laptops / phones / tv / speakers/  security system / smart switches , plugs / smart devices ) .. pretty much every single thing connected to wifi because this fancy $1600 worth of floor cleaning robot won’t work unless I change the password . Moreover here’s the official troubleshooting instructions that were sent by manufacturers Helpdesk 🤷‍♂️some of which advise changing routers DNS/encryption/IP address . This is a bit too much to get a vaccum/mop to work -Our devices don't support 5GHZ wifi. If your set-up steps are correct but it's still not connecting, try methods below:1. Please go to google play or app store to check if your Roborock app is latest. If not, please upgrade it to latest one and try to connect wifi again.2. Make sure the password of your wifi you've input is correct.3. Don't use an android tablet, iPad, iPhone 5 or iPhone 5C to connect the robot as there might be a compatibility issue.4. Enable location permission for the app. See attached picture.5. If you're using IOS 14 or later systems, please enable local network for the app. See attached picture.6. Pay more attention to the select wifi step. See attached picture ""select your home wifi"".7. If there are special characters like !@#$ in your wifi name or password, it's suggested to remove them in the router settings.8. The robot doesn't support WEP encryption mode. If your wifi is WEP, change it to WPA or WPA2.9. If you understand the router's setting very well, try to change DNS to 8.8.8.8 in the router's settings page.10. Reboot your device and router and try again.11. If your phone's cellular network or VPN is enabled, please disable them and try again.12. Check if your router's IP address is 192.168.8.1. If yes, please change it to other IPs like 192.168.9.1 and try again.If none of those solves the issue, please download another app called Mihome to try the connection one more time.
";3.0;B0BVB5PTDK
Charles H.;WHEN WORKING - ITS AMAZING, HOWEVER BAD FOR PET TOY OBSTACLE AVOIDANCE.;Color: White;Verified Purchase;December 28, 2023;United States;"
This product works super well, ONLY when all goes well. More floors have never been cleaner. HOWEVER, THERE IS A MASSIVE DESIGN FLAW! Unfortunately, this product has HORRIFYINGLY TERRIBLE obstacle avoidance for small objects, cords, & strings. I wish it had a feature to perhaps reverse the rotation of its suction brushes to unjam itself. I have a cat who likes to take out her toys and puts them all over the floor when I am not home. She's a kitten, so she wants to play and it would be wrong to curb this behavior. Because of the Roborock absolutely terrible obstacle avoidance, even if they claim it is so much improved, it is horrifyingly bad for such an expensive vacuum. Everytime my cat takes her string toy out (which is a daily occurance) it will end up jammed in the feeder. It is now at the point, that I must be home to monitor it - at which point I might as well just vacuum and mop myself. I like for it to clean when I am not home, so I don't need to hear the loud noise. But, now it is at a point where everytime I leave I have to make sure everything is off the floor or it will jam up and I'm scared will eventually break the product. They really need features to fix this as most homes will have something like this eventually. Also, the rotating bristles that draw in the dirt, bend within a very short amount of time of using it. I read about this in many reviews& recommended to buy a separate bristle online that works better, but now I totally see it first hand. That being said - all around, its a great product, I just wish the obstacle avoidance was a lot better.
";3.0;B0BVB5PTDK
Scott196941;Cool features - not as smart as it should be for the $$;Color: Black;Verified Purchase;January 6, 2024;United States;"
It has great features like cliff sensor and smart object avoidance which it does well.  I like the robot in general and it’s my first experience with one.  The problem is the path it takes makes absolutely no sense and is not efficient.  I set it to vacuum first, then mop.  It goes through the vacuum cycle (unfortunately, it goes over and over areas where it makes no sense and it acts confused).  Then when it goes to mop the hardwood, it will randomly go back to sweeping carpet that it has already swept in rooms 2 rooms away from the mopping rooms (it does this multiple times and makes no sense).  I have high pile light colored carpet and I don’t want the wetness from the mop on the carpet. So this feature doesn’t work properly.  Because it goes back to sweeping carpet and goes over the same path multiple times (I counted that it went over the same path 6 times on multiple occasions like it’s confused) when it should be mopping, I found myself stopping the entire cycle and simply using the clean a specific room feature.  The biggest reason I stopped this unnecessary sweeping was because the battery life is poor.  I get 1hr 20 mins before  it has to recharge.  I have 1,500 sq ft on the first floor so it has to charge 4 times and it takes at least an hour to recharge.  I started the cycle at 9:30am and it didn’t finish until 6:30pm.  This is why I gave this robot 3 stars.  For $1,500+, this robot should be smarter and more efficient than it is.  I don’t feel like I can start it when I go to work and have the house be done by the time I get home.  Instead, I have to manage it.  I could’ve paid for a $800 robot for that hassle.
";3.0;B0BVB5PTDK
chris;Disappointed. Lacks performance and longevity.;Color: White;Verified Purchase;February 6, 2024;United States;"




                    The media could not be loaded.
                



Purchased Oct 2023. Within 3 months of usage the Ultra 8 started malfunctioning.1. Rust ( look at the pics. Your mop pads will bleed rust from the machine to the mopping pads)2. Yes, contacted customer services, they wouldn’t replace the item but they will “repair” it under the “warranty”. Found my own box, secured the packaging to prevent shilling damages, utilized their UPS label to their repair shop.3. 4 weeks since submitting the initial claim and receiving the “repaired” vacuum. Take a look at the video I uploaded to determine if you think that’s mopping the floor… the mop is no longer making contact with the floor.Update March 2024:Vacuum was sent for repair, this took total of 3 weeks to receive the “repaired” vacuum. The rusted parts were replaced but the mop feature wouldn’t mop. Just made drops of water along the way. Emailed them again and they instructed me to mail it back to them so that they can send me a refurbished vacuum. This took another 3-4 weeks (that’s including emailing back and forth, shipping it back to them and receiving the refurbished item. The result is: it works but the machine is much louder when vacuuming. And the mop works 70% of the time. This is frustrating. Great vacuum when it’s brand new until you run into issues. This machine was not made to last. Sorry- I do not recommend. And their warranty process is very frustrating and time consuming.
";3.0;B0BVB5PTDK
Amazon Customer;Not the Unicorn Vacuum;Color: White;Verified Purchase;February 29, 2024;United States;"
I was very excited to try out this vacuum after extensive research, and it was clear that this is the best of the best out there.I wanted so badly for this to be our Unicorn Vacuum that solved the following:1. Vacuumed thoroughly , including wall edge2. Washed tough stuck on messes3. Avoids obstacles by moving around them without getting StuckHowever, this was our reality1. Vacuum suction did not meet expectations as crumbs ( big and small) would be left behind in random areas2. Washed superficially but didn’t get messes that were mildly stuck on ( post baby throwing food on the floor)3. Struggled with obstacles such as toys and shoes, it would skip the area entirely ( I hoped it would atleast vaccum around the object )Ofcourse these issues could be solved by not having sticky messes on the floor that need to be mopped and having absolutely minimal obstacles in its way, however with kids this seemed unrealistic which for us defeats it’s purpose.I would recommend this product for someone with no pets/ kids that just needs a regular upkeep of standard messes.But the value of the vacuum  didn’t seem to be justified
";3.0;B0BVB5PTDK
Zack;Design flaws and overall inferior to roomba;Color: Black;Verified Purchase;April 6, 2024;United States;"




                    The media could not be loaded.
                



Comparisson to roomba i7. I switched my roomba for this model and put it in the same previous location as my roomba.Compared to roomba this has a harder time finding home and charging itself. It frequently misaligns and sits on the station without charging until its battery dies. 1-2x a week I have to manually realign it to get it to charge. Compared to roomba it also gets stuck more often under chairs, etc.The mop feature is great and the clean is better on the hardwood floors section.Design flaws with the water tank. The lid is designed so it doesnt stay open on its own. You cant set it in the sink to refill it, you have to manually hold it open the entire time - see video.Overall it is a good concept of a product, but the programming doesnt seem as good as roomba has several annoying design flaws.
";3.0;B0BVB5PTDK
Mark A. Crothers;Great robot...  pathetic cleaner.;Color: Black;Verified Purchase;April 7, 2024;United States;"
I used to have a Roomba S9. It got lost and stuck all the time and I tired of searching for it.  This robot does a wonderful job of obstacle avoidance and mapping. You can always find the machine live in the app, you can easily tell where it has cleaned and what path it is on.  When things go wrong,  there is nothing ambiguous about what you have to do to fix it.  Any clogs or tangles are easily cleared. The rollers and filters are robust and last a very long time.  It realizes the difference between hard floors and rugs.  Changing water and bags is a breeze.However...  and this is a BIG However...This thing can barely clean at all.Basically it sweeps some of pet hair into balls that I have to pick up, the rest stays where it lies.  I have mine set to multiple passes at maximum cleaning, but I have to use my regular vacuum often in order to get the majority.One of the weirdest choices Roborock made was to have the cleaning base suck dirt out if the robot's bin back through the rollers and out the same path it came in. This does not work well. The result is that the bin often remains full, and there is no way to know that the robot is now just traveling around making noise because it is still full.It nicely wipes the floors, but I would not call it a mopping.  Just a wipe.  It will keep hard floors from being dusty, but will not for example remove a pawprint from a dog that came in from wet grass.All in all I'm dissapointed.  It is by far the most expensive cleaning robot I have ever purchased, and I have owned 4 of them...It is certainly not worth it.
";2.0;B0BVB5PTDK
Garyarmy ;Horrible Streaks;Color: White;Verified Purchase;March 20, 2024;United States;"
I sent in a ticket for the problem and first no one answered the calls, so I emailed and they provided routine things to do that I already had done! I had high hopes for this unit but for mopping it’s worthless unless you want streaks everywhere! I bought the extra mopping pads and replace them before every use and had the setting to return to base for cleaning the mopping pads every 10 minutes of use! I tried only water and also bought their cleaning products and the results were the same! The vacuum is awesome and if I hadn’t paid so much for this then I would keep it for vacuuming but my house is 80% tile and I need the mopping to work better!
";3.0;B0BVB5PTDK
