username;title;model;verified;date;region;text;stars;id
Fabian M.;Probably better to buy at your local market;0;Verified Purchase;March 20, 2024;United States;"
First purchased these at my local Walmart to try out and absolutely loved them! From my personal experience, the top biscuits seemed more on the stale/dry side since the Nutella filling was dry. But once reaching the bottom half, the Nutella was more creamy/rich. Could eat like an Oreo cookie in a way - by splitting it apart and enjoying the various layers. If you’re craving to try these - don’t hesitate!Only feedback would go towards Amazon itself as the cookies are not bad in flavor. Unfortunately due to its packaging, majority of my biscuits came crushed and smashed - kind of killing the way nice size and design of the biscuit itself. Another thing I would add in is the lack of freshness (best before 09/06/24). Throughout the whole bag, the Nutella filling looks super dry and just not very appealing. When eating the crushed biscuit with dry Nutella, it was pretty sad to eat - definitely not the same experience as my first bag. The price is great if you subscribe, but i might just go back to my local stores if it means spending a few cents more for freshness and whole biscuits.
";3.0;B0C449R6PX
Cindi Clinton;I don't care for these, but you might;0;Verified Purchase;April 29, 2024;United States;"
I wasn't expecting these to be so hard. I mean, I know it says biscuit which implies crunchiness, I was just expecting a different crunch. These are hard on the outside & filled with Nutella, so when you take a bite it just crumbles. Additionally, the sweet of the biscuit & the sweet of the Nutella aren't very good together. The taste was cloying. I just expected something that held together better & was nicer to eat. I won't buy these again. My idea of them was better than the reality of them, sadly.If you're into over-the-top sweetness, you'll love these & I wish I could give you mine :D
";3.0;B0C449R6PX
Linus Eks;Not the freshest;0;Verified Purchase;April 13, 2024;United States;"
I absolutely love these biscuits, and I usually get them at the dollar general near my house, however,  most of the time they are out of stock, and I’ve yet to find them at any other store.. so, I tried getting them here on Amazon, but compared to the ones I get at dollar general, these seem a little old.  They’re still delicious, but there’s  a noticeable difference in freshness.  The Nutella isn’t as creamy and the biscuits are not as crispy.
";3.0;B0C449R6PX
W. Morris;"Ordered Biscuits; got crumbs";0;Verified Purchase;April 24, 2024;United States;"
The Nutella Biscuits are awesome; have ordered them several times. The dissatisfaction is not with the product.  It is with the shipping by the vendor. The last couple if times, the biscuits were mostly broken with the Nutella filling spread over the broken pieces of cookies. What a mess; sprinkle on ice cream.  😉
";3.0;B0C449R6PX
Evelyn Viera-Bandhoo;It's a gamble;0;Verified Purchase;May 9, 2024;United States;"
The product is really delicious. I've bought them a few times. This last order, they came very broken and crumbled, so I was 😞. Just had to throw them away. Both, because i boguth 2. Packaging was just in a box with no cushion. First 2 times, they were nice and full cookies.
";3.0;B0C449R6PX
TD;Taste n Quality;0;Verified Purchase;May 6, 2024;United States;"
I believe this was a failure to create biscuits. Too sweet n the dough used to create the biscuit was poor quality. I am use to European biscuits. So these were not for me. Improve the quality of flour or dough to make em tasteful. Thanks
";3.0;B0C449R6PX
G.A;Never received product;0;Verified Purchase;April 11, 2024;United States;"
Product never received and refunded by Amazon for purchase. I wanted to try them though. I am a big Nutella fan so maybe I will buy this product in the future but from a different seller.
";3.0;B0C449R6PX
Abbey;Soooo  Yummy!;0;Verified Purchase;April 16, 2024;United States;"
Theses were so good and only reason for 3 stars is because they arrived crushed due to poor packaging during shipping process.
";3.0;B0C449R6PX
Christina Holmes;Just buy from grocery store;0;Verified Purchase;March 9, 2024;United States;"
This is my second time ordering and the first order didn’t come all crushed and melted. I ordered 2 8 packs of canned water and they packed them together. Makes no sense. They are amazing but I will get from the store near me as Walmart, Target and most grocery stores carry them. I was disappointed in the way they packaged it. Again other then that they are very addictive
";3.0;B0C449R6PX
Maddie;The first cookie was great, then it was down hill;0;Verified Purchase;March 5, 2024;United States;"
Cookies arrived all crumbled up on a box with heavy items, so they started off in a bad place.I don't know why, but I did not enjoy these cookies. The first one tasted great, but they seemed to lose their flavor.If you are not a die-hard hazelnut fan, maybe consider another cookie.
";3.0;B0C449R6PX
Thrifty👍🏼;Quality, Flavor;0;Verified Purchase;February 26, 2024;United States;"
I Absolutely Love These!! I’ve been a Fan for awhile now ! That being said, My last order arrived and upon opening the bag was shocked to find all of them broken in pieces!This is a packing error 😡‼️ Not a Baking Error ‼️‼️ I will continue to order these!
";3.0;B0C449R6PX
Pamela Bowers;Mostly good;0;Verified Purchase;March 3, 2024;United States;"
It was good but the package it shipped in was not. Most if not all the cookies was smashed. Still edible of course. It wasn't creamy or anything it reminded me of the knotts berry farm cookies. Kind of chewy.Mostly just disappointed in the choice of shipping package.
";3.0;B0C449R6PX
Fuzz42;Good cookies, but....;0;Verified Purchase;March 6, 2024;United States;"
I ordered 3 bags of these cookies and they were put in with a heavy item and many of the biscuits were broken or smashed.
";3.0;B0C449R6PX
stacy;Arrived all broken;0;Verified Purchase;February 23, 2024;United States;"
These taste very good but were sent in just a semi- padded envelope and every cookie was broken/ cracked when they arrived. They need to figure out a better way to ship these delicate cookies so that they don't get all busted so that we can enjoy them as a whole cookie rather than as small broken pieces.
";3.0;B0C449R6PX
Jenny;Good biscuits;0;Verified Purchase;February 23, 2024;United States;"
Good biscuits. I just wish that they would be better packaged because they were broken as it happens often when ordering biscuits on Amazon.... I also wish that they would have more nutella inside. I like better the other nutella biscuits in sticks forms.
";3.0;B0C449R6PX
Frank Martinez;Not a fan;0;Verified Purchase;March 29, 2024;United States;"
Cookie was delicious but it was damaged in transit. All the cookies were cracked and messy to eat.
";3.0;B0C449R6PX
Bridgette;Broken;0;Verified Purchase;March 14, 2024;United States;"
I bought theses before, and they were perfect, but now I'm frustrated
";3.0;B0C449R6PX
CZ;Poor packaging;0;Verified Purchase;March 8, 2024;United States;"
The taste was good, but a lot of them were crushed. They need to have better packaging.
";3.0;B0C449R6PX
