username;title;model;verified;date;region;text;stars;id
Debbie Williams;Disappointed;0;Verified Purchase;April 15, 2024;United States;"
Had such high hopes. The price was good, nice color, lightweight and easy to assemble. But, it would not stay on longer than 15 seconds at a time. I corresponded back and forth with Jagrom customer support trying to resolve the problem. Everything they suggested was already clearly stated in the instructions, which I had  read thoroughly before beginning use. Maybe I just got a dud. I've never returned anything to Amazon, never needed to. I am returning this trimmer.
";1.0;"B0CRRDN82M
"
Amazon Customer;It's gets the job done, but...;0;Verified Purchase;April 7, 2024;United States;"
This is a nice trimmer. It's lightweight and I love the fact that it's cordless. My only issue is you have to hold down 2 triggers in order for it to run continuously. There is a trigger for your hand and also a small thumb trigger. If you let go of the thumb trigger it will turn off. This is extremely annoying as it puts a strain on your thumb after a while. I had to improvis and tie a string around the small trigger so that I didnt have to hold it the whole time. Other than that, it's good and it got the job done. I have a small yard so I used it for the whole yard. If you you are using it just to trim your edges I suppose holding 2 triggers wouldn't be a big deal, but if you are using this to cut your yard in place of a lawnmower I recommend trying a different trimmer.
";3.0;"B0CRRDN82M
"
Debra Pumphrey;Spool is hard to remove;0;Verified Purchase;April 27, 2024;United States;"
It's very lightweight, batteries are great, but....removing the spool is hard to do, string gets caught on spacer guard when it's the proper length for cutting.
";3.0;"B0CRRDN82M
"
grandchild;Very low powered and will not cut high weeds or grass.;0;Verified Purchase;May 7, 2024;United States;"
We used to call this kind of quality ""Mickey Mouse""  Save money and buy a real weed trimmer.
";3.0;"B0CRRDN82M
"
John Q;Good price! Okay trimmer!;0;Verified Purchase;April 25, 2024;United States;"
Like the light weight, automatic line feed, and two batteries with a fast charger!Dislike the construction, not sure how durable it will be down the road?
";3.0;"B0CRRDN82M
"
stemple;get what you pay for;0;Verified Purchase;May 1, 2024;United States;"
it feels really cheap.very shakey hard to keep straight, would never buy again from them,
";3.0;"B0CRRDN82M
"
raf;Weed eater;0;Verified Purchase;April 19, 2024;United States;"
It says last a hour but maybe 30 minutes
";3.0;"B0CRRDN82M
"
Acoustic Technology;You've got to be kidding.;0;Verified Purchase;April 20, 2024;United States;"
Extremely flimsy, especially when used as an edger. The motor wobbles with the wheel, leaving a crooked, jagged path. The safety guard gets in the way of edging all the way through the grass. It is not a true 90 degree angle when pivoted, more like 80, which means you have to hold it at an angle for a straight cut. Unless you are under 5-1/2 feet you will have to bend over to use it. Your hand will be very sore from trying to hold the safety button.
";2.0;"B0CRRDN82M
"
Sheila Renee Gilley;weak power;0;Verified Purchase;April 23, 2024;United States;"
This is flimsy and weakvery wobbly when using the edger function.Very dissatisfied with this product.I wish I had my money backIt showed a very high rating, I don't know how because this is not worth the money I spent.
";2.0;"B0CRRDN82M
"
bobby johnson;Too much money for this weed eater;0;Verified Purchase;April 18, 2024;United States;"
Did not let you bump it and string would come out but you have to push a button and pull string out. Might be ok for small job
";2.0;"B0CRRDN82M
"
DONALD;Not enough power for heavy weeds;0;Verified Purchase;April 18, 2024;United States;"
If you are just doing basic grass for edging it works ok but for heavy duty weed whacking not so good will bog down in a hurry.
";2.0;"B0CRRDN82M
"
