username;title;model;verified;date;region;text;stars;id
Bigmama2114;I love these;Pattern Name: Strainers;Verified Purchase;April 23, 2024;United States;"
These seem to be extremely sturdy and well made. Unlike the cheap plastic type it appears that it will perform for a long time. The handle is sturdy and doesn’t bend under weight.The different sizes offer versatility. One would work for tea, one is a great size for draining a regular size can of vegetables.They are lightweight and the handle is easy to grip while straining a pot of boiled potatoes.
";5.0;B007TUQF9O
Kimberly;Love;Pattern Name: Strainers;Verified Purchase;May 6, 2024;United States;"
I really love these, but I did not think that big one was gonna feel it that big, but it still works really well. It's just trying to find a place for it in my Kitchen.lol
";5.0;B007TUQF9O
Amazon Customer;Fine mesh- dishwasher safe;Pattern Name: Strainers;Verified Purchase;May 8, 2024;United States;"
Sturdy, three sizes, well-made, I use them to wash my rice and for all kinds of things. Then I dropped them in the dishwasher.
";5.0;B007TUQF9O
Ralph J.;Sizes are perfect;Pattern Name: Strainers;Verified Purchase;April 18, 2024;United States;"
Love these. The sizes are perfect for so many things - sprinkle powdered sugar, straining pasta for 1 or 2, scooping little things like  from deep frying, straining juices or gravy, sifting flour and other ingredients, rubbing sugar or granulated fructose to break down lumps.
";5.0;B007TUQF9O
Edwards;Nice sizes;Pattern Name: Strainers;Verified Purchase;May 3, 2024;United States;"
I'll be using this to sieve my powders for bath bombs. There are a few very sharp pieces that I'll have to file down, but overall they're fine.
";4.0;B007TUQF9O
Amazon Customer;Cant get through to you!;Pattern Name: Strainers;Verified Purchase;May 4, 2024;United States;"
Quality seems good. Sizes are what I wanted. I havent used them yet- but Im thinking they will work well.
";5.0;B007TUQF9O
Namae;Great quality strainers;Pattern Name: Strainers;Verified Purchase;April 18, 2024;United States;"
Got these as a replacement for some older no brand ones I had which got rusty and crumbly over lime juice.These have held up quite nice since I got them and at a price point you really cant beat!
";5.0;B007TUQF9O
Amazon Customer;Great quality;Pattern Name: Strainers;Verified Purchase;May 7, 2024;United States;"
Just buy these.  You won't be disappointed.  Great quality.
";5.0;B007TUQF9O
RJM;Poor Quality Handle Attachment;Pattern Name: Strainers;Verified Purchase;April 3, 2024;United States;"
Update on previous review: I did contact Cuisinart after remembering they had a Lifetime Warrsnty on their products and their state-side customer service was very helpful and will be sending me a free replacement. I’ve updated my rating to 5 stars hoping this was a one off defect.Quality of stainless steel and wire mesh seems good however, the handle is not securely attached to the screen and separated after 3 months use (after return period).
";5.0;B007TUQF9O
Stefanie;Great price for quality;Pattern Name: Strainers;Verified Purchase;May 3, 2024;United States;"
What a steal!  Very well made and I got 3!!  Enough said.
";5.0;B007TUQF9O
