username;title;model;verified;date;region;text;stars
InkSlime.;Such an amazing product.;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;July 4, 2023;United States;"
A very high quality product from steelseries. High quality and affordable. The keyboard Led back lighting is extremely bright and noticeable. Of course the led lighting can be dimmed. The customization of the keys are endless. The OLED screen is also very nice. Bright and highly customizable. The keys feel very nice, not too loud, very smooth, just all around amazing. The software (Steelseries GG) can be very clunky sometimes. But it is easy to use. Sometimes my custom illumination for my keys do not load up and I have to manually open up the software and select the content myself. Although a bit tedious at times but the keyboard doesn't just shut off. It defaults to one of their amazing/beautiful presets that it comes with. I highly recommend this product. Especially for people just getting into computers. I love this keyboard to death and would buy it over hundreds of times.
";5.0
Oren;Great mechanical keyboard at a reasonable price;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;April 12, 2024;United States;"
Very ergonomic thanks to the magnetic wrist rest, fun and clicky for typing, while being relatively quiet. Great customization options and cool volume control button. Seems high quality build.In my opinion, TKL are superior to mini or full sized keyboards.
";5.0
Mazin Recine;Great Keyboard with Cool Features;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;July 28, 2019;United States;"
I have owned a Steelseries keyboard in the past and was greatly disappointed with the switches it used. I had a m750 with the qx2 switches, and they just felt off to me. Not really sure how to explain, but they just felt off. Im not generally a fan of linear switches ( as a gamer, blasphemy I know) as I tend to have a heavy hand and accidentally hold shift  or ctrl by accident, which messes up my movement and gets me killed. Not only that but I feel I mess up more when typing essays for college and have to go back to revise more frequently. I needed a new keyboard that would allow more space for my mouse, as I play on a low dpi, and was looking at TKL models from various companies. Originally I was planning on the G Pro from Logitech to go with my G Pro Wireless, but then I realized they had Romer-G switches. I tested them out and found them alright, but lack of customization and after market keycaps was a turn off for me. The new Apex Pro TKL came out with their OmniPoint switches, which are linear switches that you could change the actuation point of to fit your preference. Again, I am not a fan of linear, so this disappointed me as the rest of the keyboard caught my attention. Luckily with the Apex 7 they allow you to choose your switches out of the 3 options they provide. I chose the browns as I wanted something fast but with some feedback. When it arrived 2 days later, I was impressed with the size and beauty of it. The nicest keyboard I owned so far. The switches feel nice, and there are a few features you won’t find on a some other TKL keyboards like the OLED display (mostly a gimmick but cool nonetheless), usb passthrough, cable routing, and dial. The magnetic wrist rest isn’t plush, more like a flat rubber surface to prop up your hand. That isn’t to say it’s not comfortable or soft, but it is a pain to clean as it is a dust magnet. They keycaps feel cheap and are my main gripe for a premium keyboard, however I Luckily had higher quality shine-through keycaps from previously. Overall I am satisfied with the keyboard and would recommend to anyone thinking of purchasing.
";5.0
Juan Diego Pinillos;Amazing keyboard for gaming;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;February 8, 2024;United States;"
I'm in love with the keyboard: it's silent, well built, beautiful and quite customizable.Use this for gaming and gaming only, for productivity you really need the extra keys you're missing out and a membrane keyboard will do the job better.
";5.0
Beverly;no USB hub allowed;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;October 26, 2020;United States;"
This keyboard is great if you use it properly, you cannot use the Keyboard part of the cable through a USB hub. the keyboard will not function... at all... if you plug in the keyboard through a  USB hub it will not work. you may plug in the USB PASSTHROUGH through a USB hub but that's it. if you absolutely need to use it though a hub you need to have another keyboard to get into your computer with. the keys will not work until you log in to the pc and let every driver load in and then ""update the keyboard firmware"" in the software. (steelseriesengine3) the keyboard will flash until that is done. if you plug in the keyboard directly to your pc everything will work fine 100% of the time. other than that, the lights look absolutely insane (good) the switches are fine (SteelSeries browns) but the only problem I have with them is that when you press one down you will feel the slight tactile bump but then you will need to press the key like 1/100000000000 of an inch more to get it to actuate. if you pretty much only ever type you wont REALLY feel a difference and if this is your first Mechanical keyboard you definitely won't feel a difference but when your gaming and you don't press the keys down all the way 80% of the time you'll sometimes feel it. its not tooo big of a deal though. but if you absolutely couldn't deal with that you could I guess swap the switches out (I think their hot swappable but I could be wrong) and maybe even treat your self to some holy panda's or something along those lines.but for a big summary, switches are decent, the wrist rest is nice but if you slam the top down the whole thing will go backwards, I have generally large hands from my experience (G502 mouse if a bit short in length for me in a claw grip) because I often find myself moving the wrist rest beck a little, OLED display is totally overkill but totally sick (on AMD processors the app ""system monitor"" doesn't work for now but possible update coming) and stabilizers are nice, form factor is also nice.
";4.0
Lance Francis;Great seller. Great keyboard. Click SD click can be!;Size: Apex 7 TKLStyle: Blue – Tactile & Clicky;Verified Purchase;April 14, 2024;United States;"
Great purchase
";5.0
Amazon Customer;Ultra sensitive;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;October 26, 2023;United States;"
It's a great keyboard but let me get the one con out of the way. the keys are super responsive so you can have situations where you trigger a key and have no clue what's going on only to realize your palm or thumb is resting on a stray key, but this could just be me.Also, if you are holding like say the A key and press D to move right the last key pressed doesn't override the new one so you have to let go of the first key.Here are some quick pros though. It IS SICK!!! looks great and keys feel great to press. The usb port on the upper left is powered and can charge a phone or I would assume run headsets. Easy to clean and quite a few customization options, love the form factor as I don't need a 10 key!
";5.0
Carlos Patiño;Great keyboard;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;March 25, 2024;United States;"
excellent customization settings, great default profiles, very good quality
";5.0
MGWallace;Had it for 3 days;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;April 22, 2024;United States;"
Feels really good using it compared to my ibuypower stock keyboard. The keys have a grip feel to them and the magnetic arm rest at the bottom is cool. There’s an app to adjust the rgb and other nice stuff on the steel series website.
";4.0
El;Rgb;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;April 30, 2024;United States;"
Nice keyboard for the price
";4.0
👍;Good 😊;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;April 16, 2024;United States;"
Very nice 🙂
";5.0
Cristhian Narváez;Teclado;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;March 26, 2024;United States;Verified Purchase;5.0
Raymond Bailey;Works well;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;March 22, 2024;United States;"
Bought for my grandson. He says he likes it and it works wrll
";5.0
Nice product! My son was very pleased. ;Wonderful gaming keyboard;Size: Apex 7 TKLStyle: Blue – Tactile & Clicky;Verified Purchase;March 30, 2024;United States;"
Gaming
";5.0
Mary;Not very quiet;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;February 18, 2024;United States;"
Love the keyboard but it is not at all quiet as advertised! I was looking for a quiet keyboard and this is not one!
";4.0
立華かなで;Decent for rhythm games;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;January 5, 2024;United States;"
Its decent for vsrg games but my A key is beginning to have issues after 800k key presses. For the price it isn't too bad but I was kinda hoping it would last a bit longer. My Ducky Shine 5 lasted 5 years before dying on me. It had roughly 120 million key presses total on all keys before death. Most likely I'm going to try out wooting keyboards next as they are supposedly well built.
";4.0
Rob;Great switches;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;February 11, 2024;United States;"
very solid construction.  Son uses it for gaming and the is very impressed with the OPX switches.  very small depression needed to register.  super sensitive- likely not great for typing, but great for competitive gaming.
";5.0
Teknoviking;Switches start dropping out...;Size: Apex 7 TKLStyle: Blue – Tactile & Clicky;Verified Purchase;November 26, 2023;United States;"
I love this keyboard, I really do. But after about 2.5 years, I have started to have problems with it recognizing key-presses in some keys. Started with the L-Shift key and then a couple weeks later the Backspace key started to require multiple presses to function.  I also began experiencing some difficulty with the Spacebar.  Thinking that it was some problem with the larger keys, I went through the steps to thoroughly clean and lube the switches. That seemed to work for a bit, but after another few weeks, I was back to key presses being hit-or-miss. Again, I like the keyboard but I think it might have a bit of a limited lifespan.  I hope your's lasts longer!
";5.0
Maor Mesilati;Nice Keyboard;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;February 29, 2024;United States;"
Nice Keyboard
";5.0
Works;Amazing Keyboard;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;February 16, 2024;United States;"
This is a great keyboard. I've been using it for over 2 years now with no hiccups.
";5.0
Vaclav;Good product;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;February 12, 2024;United States;"
Meets the expectations, corresponds with seller description
";5.0
yuckypants;much higher quality than expected;Size: Apex 7 TKLStyle: Blue – Tactile & Clicky;Verified Purchase;March 4, 2023;United States;"
My requirements for a keeb are as follows: TKL, RGB, blue switches, with decent software that can control macros and RGB. This one hits ALL of the needs. The only reason this is getting 4 stars out of 5 is the fact that the switches are soldered in and if any need to be replaced, it's going to be major surgery or a replacement. It also makes it impossible to lube the switches when they're still installed.I hate the fact that this is an older model because the major brands all have their own switches now that are either ""like mechanical"" or some adjustable style. I just want blues - Cherry, Gateron, Kailh, whatever, but not some Steelseries or Razer brand.The software is not the best I've used either, but it's far superior to GMMKs or Duckys (completely non-existent).Overall, I'm enjoying this keeb and hope to for many more years to come.
";4.0
M. Hall;Excellent Mid-Priced Gaming Board;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;September 14, 2023;United States;"
The construction is very solid, with an aluminum chassis that has little flex. It's quite substantial feeling for a small board. The keycaps feel solid, if maybe a little more slick than I personally prefer, but it's easy enough to adjust to. The switches function well for both gaming and typing (I went with the brown, for that extra bit of tactile feedback.) While these aren't Cherry switches, they feel good and I've noticed not a single ghost or double press. Sadly, they are hard-wired and not swap-able, so bear that in mind when picking out your model (Red, Blue, and Brown are available.)  The wrist-rest feels good, though the soft-touch surface is kind of a dust magnet.
";5.0
Hunter Joline;2.5 Years so far and still kicking;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;May 26, 2022;United States;"
Got this back in 2019 and if I told you the amount of abuse this has been through, you'd be shocked to see that this beast is still in nice shape. Sturdy is definitely the word I'd use to describe the build quality, the case seems to be a hard plastic but isn't a cheap type of feel. This keyboard has some weight to it to let you know it isn't playing around. I can't think of how many times I raged and with my fist raised all the way up to the sky, punched down as hard as I could over and over until my hand hurt, keyboard still intact. RGB works great and the software lets you change the effect and color of each individual key if needed. Has buttons to change brightness of the LEDs from the keyboard itself. Favorite part of the keyboard is the media keys, a scroll wheel that lets you turn the volume up or down as well as mute and another button beside it to completely pause whatever is playing. A little extra is the screen in the corner where you can display pretty much anything you want and I think certain games have popups available to display stats if you're into that. For a non custom generic gaming keyboard out of all the top brands like ASUS and CORSAIR, steelseries definitely should be up there for a keyboard that does what it needs to, looks great and is built to last for years (and take abuse... Apex did it I swear).
";5.0
Amazing sounding keyboard and preformed very well;Very good keyboard;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;February 10, 2024;United States;"
Gaming
";5.0
Paula W;Purchased for son;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;January 10, 2024;United States;"
We purchased this for our son for Christmas and he uses it daily and seems to like it.
";5.0
Anderson Acevedo;Teclado cómodo y de buen tamaño, con buena personalización;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;December 28, 2023;United States;Verified Purchase;5.0
Julia S;Fast;Size: Apex 7 TKLStyle: Blue – Tactile & Clicky;Verified Purchase;January 7, 2024;United States;"
My grandson loves it and I like that it has a piece to rest the wrist
";5.0
Arrive to Israel after a month.very recommend ;Very recommand;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;January 24, 2024;United States;"




                    The media could not be loaded.
                



A rived to Israel after a month , very recommend
";5.0
K. Pois;Quite frankly the best keyboard I've ever owned;Size: Apex 7 TKLStyle: Red – Linear & Quiet;Verified Purchase;December 2, 2023;United States;"
I'm a big peripheral nerd.This keyboard is hands down the best keyboard I've ever owned. Incredibly comfortable and smooth to use, great build quality and reasonably priced
";5.0
Jakob M.;Great keyboard;Size: Apex 7 TKLStyle: Brown – Tactile & Quiet;Verified Purchase;July 4, 2023;United States;"
It’s been a joy to use this keyboard. It sounds great and the LEDs look good. I was able to create some presets using the keyboard menu. However, I was never able to program the LEDs from the CPU like I though you could
";4.0
