username;title;model;verified;date;region;text;stars;id
patricia maradeo;Entertaining;0;Verified Purchase;February 14, 2024;United States;"
This was a Christmas surprise gift for my child. What can I say other than IT’s BIBBLE!  Fantastic purchase that entertains me as well as my kiddo. So vibrant in color and again IT’S BIBBLE!It hangs nicely on the wall of her bedroom.
";5.0;B09PXYYF5P
Judy and John Robbins;Hilarious;0;Verified Purchase;February 2, 2024;United States;"
We hung it up in our dorm room and everyone is terrified when they see it. 10/10 recommend
";5.0;B09PXYYF5P
Anna ;my favorite decoration in my room;0;Verified Purchase;December 29, 2023;United States;"
this is one of my favorite memes so I had to get this tapestry. easily the first thing people notice in my room.
";5.0;B09PXYYF5P
Maple Brown;Literally perfect;0;Verified Purchase;November 25, 2023;United States;"
I can’t stop laughing, the quality is so good for no reason, this is fantastic
";5.0;B09PXYYF5P
Americus Eling;WORSHIPPING BIBBLE;0;Verified Purchase;August 16, 2022;United States;"
I'm too lazy atm to go take a better pic. anyways the tapestry is big but we had to make it work. everyone in our dorm loves it. we love bibble. everyone who comes in must take a pic with him or you can never come back. this is a godsend
";5.0;B09PXYYF5P
Angie;Beautiful;0;Verified Purchase;December 26, 2022;United States;"
Looks amazing in my daughters bedroom.
";5.0;B09PXYYF5P
felicia sanchez;Amazing;0;Verified Purchase;October 5, 2022;United States;"
It was great?!?
";5.0;B09PXYYF5P
Yeni;Perfecto;0;Verified Purchase;September 1, 2022;United States;"
                Perfecto
            ";5.0;B09PXYYF5P
Kara;My bf absolutely loved this as his birthday gift;0;Verified Purchase;August 3, 2023;United States;"
He is going to hang it on the wall and was super happy seeing it haha
";5.0;B09PXYYF5P
Talia Georgelos;Love this!;0;Verified Purchase;January 26, 2023;United States;"
I gave this to my roommate as a gift and now its hanging in our college dorm. Seriously we get so many laughs from our friends! Bibble your a genius!
";5.0;B09PXYYF5P
Ur mom;Get it right now;0;Verified Purchase;July 9, 2022;United States;"
Dont even hesitate to get this beautiful tapestry of bibble on fire. It's 100% worth it.  A reason to keep going an inspiration rather. Particularly it's rather big and ur atypical tapestry material. I just tacked it to the wall and it works just fine. It's looks great with led lights. GetTHE BIBBLE TAPESTRY!!
";5.0;B09PXYYF5P
