username;title;model;verified;date;region;text;stars;id
Ace Knight;I Keep Buying Kindle Tablets!  Incredibly Versatile!;Digital Storage Capacity: 32 GBOffer Type: With Lockscreen AdsColor: BlackStyle: Amazon Fire HD 10;Verified Purchase;March 14, 2024;United States;"
I have a herd of Kindle Fire Tablets from over the years.  I think I buy at least one new one every 2 years, if not yearly.  The price is right, especially during Prime Day or Black Friday sales, so why not?  The ""old"" ones then become upgrades for my parent's tablets -- or they get used as a touch-screen interface to a music system or home automation system, or they upgrade the *really* old ones that eventually become too slow or are no longer supported.  I have a few tablets I designate for use when I'm outside grilling or partying and don't mind getting beat up a bit.These 10in tablets are a nice size for when you want a bigger screen.  We've used them on Zoom calls with relatives and it's nice not having to listen to the noise of a laptop fan spinning up and down while video conferencing.  I've used them with some cloud gaming services and once again, it's awesome not having to hear a fan like you usually would when playing games on a laptop or PC.  I've also used these tablets to connect remotely to my desktop.  Paired with a bluetooth mouse and keyboard you can essentially use the tablet as a ""thin client"" to connect to a more powerful PC and the battery lasts a lot longer than a normal laptop battery would.  I've used some drawing applications on them too, where even if you just use your finger and pinch-zoom to magnify, you can actually create some pretty nice drawings if you're artistic.The world of apps and usefulness of Kindle tablets really opens up if you side-load Google Play Store.  I like Tinycam for viewing wireless pet cameras, SuperDisplay and EasyCanvas for a lag free display for Windows, Squeezer for remote control of Squeezebox music system, Pinball Arcade for pretty authentic pinball experience, Microsoft Remote Desktop to connect to Windows desktops, NoMachine to connect to Mac Mini lag free, Steam Link & a bluetooth Xbox controller to remote play games from my desktop, Touch Portal (powerful remote macro control deck like Steam Deck), Sketchbook for intuitive drawing, Squid for note taking and brainstorming ideas, SimpleMind for quick mind maps, Engross for todo lists, Habits for easy habit tracking, MyRadar for viewing live weather radar & the list goes on!  Again, only after installing Play Store do you open up that world of possibilities, otherwise you are limited to what's on the Amazon App Store.  If you're a bit technical it's not hard to figure out.My wife and I love our Kindle Tablets and this 10in tablet is was the newest member of the group.  We've had very few issues with any of the tablets we've bought over the years, aside from some of the normal things that happen after you've installed dozens and dozens of apps and at some point have to wipe the tablet to clear it out and speed it up.  But no hardware issues to speak of really.  They've just ""worked"" and have been pretty rock-solid.  Unless they become more expensive, or quality changes, we'll continue buying Kindle tablets in the future.
";5.0;B0BHZT5S12
Sara;Amazing for the price;Digital Storage Capacity: 64 GBOffer Type: With Lockscreen AdsColor: BlackStyle: Amazon Fire HD 10;Verified Purchase;March 24, 2024;United States;"
The all-new Amazon Fire HD 10 tablet is a fantastic device that offers incredible value for its price. With its vibrant 10.1"" Full HD screen, powerful octa-core processor, and ample 3 GB RAM, it's built to deliver an exceptional user experience.As a grad school student, I find this tablet to be an indispensable tool in my daily life. Whether I'm attending Zoom meetings, listening to audiobooks on Audible, reading textbooks on Kindle, or browsing the internet for research, it serves all my academic needs seamlessly.Beyond its academic utility, the Fire HD 10 is also a great entertainment device. I love using it to watch videos during long flights or downtime between classes. Its portability and long battery life make it perfect for travel, ensuring that I always have entertainment at my fingertips wherever I go.One of the features I appreciate most is its compatibility with Bluetooth accessories like a mouse and keyboard. This turns the tablet into a mini computer, allowing me to be productive even when I'm on the move.Overall, I'm extremely happy with my purchase of the all-new Amazon Fire HD 10 tablet. It's versatile, reliable, and offers everything I need for both work and play. If you're in the market for a budget-friendly tablet that punches above its weight in terms of features and performance, look no further than the Fire HD 10.
";5.0;B0BHZT5S12
Avid shopper;Beautiful Resolution;Digital Storage Capacity: 32 GBOffer Type: With Lockscreen AdsColor: BlackStyle: Amazon Fire HD 10;Verified Purchase;May 6, 2024;United States;"
Nice tablet, very reasonable price and fast delivery. Great screen definition.
";5.0;B0BHZT5S12
Betty Bair;Security upon opening the tablet;Digital Storage Capacity: 32 GBOffer Type: With Lockscreen AdsColor: BlackStyle: Amazon Fire HD 10;Verified Purchase;May 1, 2024;United States;"
I like the clarity of the picture and the ease of use. Not a fan of using a security code before you can sign it. I understand some people may need that feature but maybe it can be an option.
";4.0;B0BHZT5S12
AmazonCustomerr;Great Tablet;Digital Storage Capacity: 32 GBOffer Type: With Lockscreen AdsColor: BlackStyle: Amazon Fire HD 10;Verified Purchase;April 29, 2024;United States;"
I really like this tablet, the size is great, it's not to small or to big. Easy to hold, Great screen display. Awesome deal through amazon pay plan very low payments. Fast delivery with prime. Good battery life which is a must for devices these days. Only thing I dislike about that you cant download some apps, but its not a deal breaker. You can just use a different device or your phone for that reason. Unless one day amazon fire tablet miraculously gives us that luxury lol. Also I'm not sure if there's another way to do so. Get you one !!!
";5.0;B0BHZT5S12
Recovery;Nice tablet at a great price;Digital Storage Capacity: 32 GBOffer Type: With Lockscreen AdsColor: BlackStyle: Amazon Fire HD 10;Verified Purchase;April 6, 2024;United States;"
This is a replacement for a Fire tablet I bought about five years ago. I don’t know how, but the older tablet developed a dark area that made it difficult to read. This tablet was on the spring sale, so I purchased it and I’m happy I did!  This Fire is much more robust than the old one. Using it is almost like using my laptop. I was on the phone today with a friend and we were both searching for something on the internet. She was using her I-pod and I was using my. Fire. I.was getting results faster than she was and we both have the same thing internet provider and type of connection. I don’t use a lot of different apps, but there are certainly many available. I have downloaded books and taken it with me when I know I’ll be waiting. It’s easy to hold and read and there is a large library available. I frequently download audiobooks from my local library and listen to them when I’m doing things around the house.  This was a great purchase
";5.0;B0BHZT5S12
Gamesormore;Good product;Digital Storage Capacity: 64 GBOffer Type: With Lockscreen AdsColor: OceanStyle: Amazon Fire HD 10;Verified Purchase;April 23, 2024;United States;"
I got this for Christmas.  When I downloaded new games, I got a lot of ads.  The ads became constant to the point they were even interrupting my reading.  I contacted the tech support and they were unable to help me.  In fact, one person became so frustrated that they hung up on me.  I finally did a chat call with someone who wasn't able to get rid of the ads, but was able to wipe my tablet clean.  I was then able to reload my books.  I do not play games on my tablet, I only use it for the purpose of reading.  I don't want to be bothered with the ads.  Nor do I want to pay to have the ads removed.  Otherwise this tablet works well.
";5.0;B0BHZT5S12
kflaming;Employee kudos + the secret to 15W charging!;Digital Storage Capacity: 64 GBOffer Type: With Lockscreen AdsColor: BlackStyle: Amazon Fire HD 10;Verified Purchase;April 4, 2024;United States;"
Someone at Amazon deserves many kudos for getting this Fire HD 10 13th generation (2023 release) tablet to me before I left for Guatemala in the early morning hours of Thursday, February 8th. A few days before my trip, I went to download content on my Fire HD10 9th generation (2019 release) tablet but it would not start. I disassembled it and found the battery fully charged but the power distribution chip was toast! Finding no way to get it repaired locally, I ordered another one February 6th which, before I added it to my cart and before I completed my purchase, was promised overnight shipping. The new tablet was to arrive Wednesday, February 7th by 11am. After completing my purchase I noticed this had been changed to just sometime on February 7th. I looked at my orders around 3:30 pm February 7th and discovered arrival was now February 9th! I called customer service, gave them the what for, was transferred to Amazon shipping, gave them the what for also, even offered to drive down to the distribution center and pick it up myself! I was left with little hope of getting my new tablet before my trip. Then at 9 pm, a knock at my door, someone had come through!The Fire HD 10 13th generation (2023 release) has a vastly different x:y dimension than the 9th generation (2019 release). I had to order a new case but I like the new form factor better.The Fire HD 10 13th  (2023 release) collects a lot more dirt in the groove between its glass front and plastic backing than did either my HD 10 9th generation (2019 release) or my HDX 7 before it. I'm constantly trying to get it out with my thumbnails!The power button is in the wrong place on the 13th generation (2023 release). 9 times out of 10 when I go to turn up the volume, I end up turning it off!""Do what you love, uninterrupted""...but only if you can find the secret to recharging faster than 5 to 9 hours! The Fire HD 10 13th generation says it's native Amazon 9W charger, depending on starting battery level, takes ~5 hours to fully recharge. That's way too long to wait if you're wanting to use your tablet! Read on and I'll tell you how to access 15W USB-C charging that only takes ~2 hours!I read Fire tablets with USB-C charging ports are capable of up to 15W charging. I did not want to buy a 15W charger (fire hazard) from one of the many 6 UPPERCASE CHARACTER named Chinese companies offering them here on Amazon. I have other charges from a prominent brand here on Amazon, some claiming PD 3.0, offering up to 5V4.8A, and rated up to 60W, that were taking anywhere from 5 to 9 hours. Why didn't these work? What's the secret to 15W Charging?Well, I found it! Fire tablets with USB-C charging ports, at least the 13th generation (2023 release) HD 10, use the PD PPS protocol to negotiate 15W charging. But why didn't my existing name brand chargers provide 15W? There's more detail on that below.You need a charger with PD 3.0 PPS or PD 3.1 (that's guaranteed to have PPS) to get 15W charging. If a manufacturer claims PD 3.0 but fails to mention PPS in the product description, use the ""Looking for specific info?"" box to ""Search in reviews, Q&A..."" for ""PPS"". You need at least 3A in whatever PD PPS voltage output range contains 5V.Details:The Fire HD 10 uses an order of precedence when negotiating a charging solution with a charger, first attempting PD negotiation then ultimately dropping back to basic USB Type C charging when PD negotiation fails. Basic USB Type C charging power drops off dramatically during charging leading to 5 to 9 hour charging times whereas PD PPS power stays fairly close to 15W the entire time. 15W PD PPS charging should really only take ~2 hours from ~10% to full or you've been taken!Some 6 UPPERCASE CHARACTER named Chinese companies are offering 5V3A 15W USB-A chargers using a USB-A to USB-C cable with integrated 56 ohm resistor to emulate a USB-C to USB-C cable. Sorry, these may be able to provide the requisite 15W but USB PD is just not available from a USB-A charger port. Some 6 UPPERCASE CHARACTER named Chinese companies offer 5V3A 15W USB-C chargers using USB-C to USB-C cables that don't offer USB PD protocol. I have a handful of older chargers of these types from a reputable charger manufacturer and one does provide more power initially (11.5W) than the native 9W Amazon charger but basic USB Type C charging starts at lower power than true USB PD charging and drops off rapidly. I've seen the Fire HD 10 reported anywhere from 5 to 9 hours until fully charged for these basic USB Type C chargers.USB Power Delivery (PD) 1.0 was released July, 2012. With the USB PD 1.0 you get six fixed power profiles for different device categories 5V2A, 12V1.5A, 12V3A, 12V5A, 20V,3A, and 20V5A.The USB Power Delivery 2.0 fast charging standard was released August, 2014. With the USB PD 2.0, you got (fixed) voltages 5V3A, 9V3A, 12V3A, 15V3A, and 20V5A.The USB Power Delivery 3.0 fast-charging standard was released November, 2015. USB PD 3.0 made functional improvements but did not present (voltage) differences compared to USB PD 2.0, you still got (fixed) voltages 5V3A, 9V3A, 12V3A, 15V3A, and 20V5A.The USB Power Delivery 3.0 PPS fast-charging standard was released February, 2017. This version adds a programmable power supply (PPS) that can realize voltage and current regulation using USB PD protocol output. In addition to USB PD 2.0 and USB PD 3.0 fixed voltages, USB PD 3.0 PPS has specific PPS voltages, which are 3.3V-5.9V 3A, 3.3-11V 3A, 3.3-16V 3A, and 3.3-21V 3A, 3.3-21V 5A (100W Max).The USB Power Delivery 3.1 fast-charging standard was released May, 2021. In addition to USB PD 2.0 and USB PD 3.0 fixed voltages and USB PD 3.0 PPS programmable voltages, USB PD 3.1 adds 15V-28V 5A, 15V-36V 5A, and 15V-48V 5A (240W Max).From a prominent charger manufacturer's website:Power IQ 1.0: Supports 5V/2.4A maxPower IQ 2.0: Compatible with QC 3.0 + Power IQ 1.0Power IQ 3.0: Compatible with QC 3.0 + PD 3.0 + Power IQ 1.0Power IQ 4.0: Compatible with QC 3.0 + PD 3.0 + Power IQ 1.0 + Dynamic Power DistributionBecause of the way Power Delivery specifications were released, a manufacturer can legitimately claim PD 3.0 support without supporting PPS needed for 15W charging Amazon USB-C tablets.I have a 45W output charger from a reputable charger manufacture that my FNIRSI FNB58 says supports USB PD 3.0 PDO:4. The 4 PD output profiles are 5V ⎓ 2.4A / 9V ⎓ 3A / 15V ⎓ 3A / 20V ⎓ 2.25A.  I see the Fire HD 10 briefly (about 1 second) hit 12.4W while attempting PD negotiation before dropping back to 9W basic USB Type C charging when PD negotiation fails. The Fire HD 10 reports 5 hours until fully charged.I have another 60W output charger from a reputable charger manufacture that my FNIRSI FNB58 says supports USB PD 2.0 PDO:4. The 4 PD output profiles are 5V ⎓ 3A / 9V ⎓ 3A / 15V ⎓ 3A / 20V ⎓ 3A. My FNIRSI FNB58 says the Fire HD 10 negotiates PD 1.0 14W but it seems unable to decode the device categories used by PD 1.0. It makes no sense but the Fire HD 10 reported 2 hours until fully charged for this apparently non-PPS charger. BUT, this weird PD 1.0 negotiation doesn't always succeed and, when it doesn't, the Fire HD 10 drops back to 7W basic USB Type C charging reporting 7 hours to fully charge!I'm including pictures of the Fire HD 10 charging at 14.6W ""43% • 1h:31 min until full"" on a car charger (sorry, it was dark), the car charger supports PD3.0 36.00W PDO:4 where PDO:4 is 3.30-11.00V 3:00A, the PD3.0 45.00W PDO:4 charger that fails PD negotiation and drops back to 9W basic USB Type C charging, and the PD3.0 60W PDO:4 charger that sometimes negotiates PD 1.0 14W and other times drops back to 7W basic USB Type C charging.
";5.0;B0BHZT5S12
George H. Seidel Jr.;Loved it, but the one I got was defective;Digital Storage Capacity: 32 GBOffer Type: With Lockscreen AdsColor: BlackStyle: Amazon Fire HD 10;Verified Purchase;April 18, 2024;United States;"
I loved this Kindle.  But after a few weeks it started glitching.  I would open a book to read it, and within a few seconds the book would disappear, the screen would go dark, and then a message would flash so fast that it was difficult for me to read.  After repeating this process dozens of times so that I could finally read the message, I was found that the Kindle was informing me that my (actually none of my books) were in my list.  The first time this happened, I reset the Kindle to factory defaults, and then re-downloaded my books.  But a week later the same thing happened again.  I figured I just go bad luck, so I wanted to ""replace"" the Kindle with an identical one.  But Amazon wouldn't let me do that.  I had to return it and get my money back.  I really don't have complaints about the Kindle; every once in a while you will get a product that doesn't work.  My complaint is with Amazon customer service -- all menu driven, didn't get to talk to a live person, the menu options weren't sufficient for what I wanted.  I would have been happy to just swap the defective Kindle for another one, but instead I got my money back.  No problem getting my money back.  But now I wonder why Amazon made it impossible for me to ""replace"" the Kindle.  Not happy with the customer service experience.
";5.0;B0BHZT5S12
Kindle Customer;Unable to transfer data from previous tablet.;Digital Storage Capacity: 32 GBOffer Type: With Lockscreen AdsColor: OceanStyle: Amazon Fire HD 10;Verified Purchase;April 21, 2024;United States;"
The reason I had to get a new tablet was because the tablet I bought in 2021 just died. There was no warning,no glitches,and no sign. I was not able to turn on the old one to transfer data. I have a lot of Audible books that I have purchased. Some are read and others not completed. I was not able to get them from the cloud. For whatever reason my e mail was not updated and is different from the present e mail I have on file.I have worked with several people. But have been unsuccessful in retrieving the data. I cannot remember the first account e mail address,as I thought it had been updated with my second Kindle.This has caused great frustration for me. I have taken the old kindle to a repair shop to see if they get it to turn back on. They too were unsuccessful. Now I have to about sending it a data retrieval company to see if they can help. Again this very frustrating. I was told but your staff that I would have repurchased the book I previously bought over the years and reestablish a new account to rebuild credits I had not yet used. This, I find to be an unsatisfactory solution. This latest kindle is my 4th.I would like a better solution/outcome.So far the new tablet is fine. but we will see how long it will last.
";4.0;B0BHZT5S12
