username;title;model;verified;date;region;text;stars;id
Ls;what r u waiting for?!?!?!?!?!?!?!?!?;Color: White;Verified Purchase;December 23, 2023;United States;"
I’m in love!!!!Not so much with the price but with all of the extra time I have to myself.  I was hesitant to purchase a $1600 vacuum/ mop, but after reading at least 50 reviews on multiple websites… I was convinced. It took a lot longer to arrive bc it shipped directly from Roborock in Arkansas via UPS, so don’t be surprised if Amazon gets the delivery date wrong. I have never owned a robot.  I will say I have been tempted but I never believed they would actually do a good job.  This product is amazing!!!  She arrived Monday night at my house.  I put her together (attached the ramp) and plugged her in to charge.  I did put her in backwards, so pay attention to where the buttons r.  They go inside the machine.  I was met with an error 42 message that was not self explanatory. I wasn’t able to find a list of errors in the instruction manual and so I started to get really upset. Finally, I was able to find 1 person who got a response from Roborock.  Pull out the robot, remove the brush and the filter to the rt (on the dock) and put everything back.  That seemed to work.  At least at that point I didn’t feel like I wasted a fortune on something that was broken when it arrived.  I let it charge all night and found that it makes noise while it was charging.  The next morning I downloaded the app and let it start mapping the house.  I closed the door to the back bedroom bc that’s the room where everything goes to die and there is nowhere to even turn around in that room. The whole process took 14 minutes.  I did notice that it has trouble distinguishing btwn inside and outside when it comes into contact with sliding glass doors with no shades.  I eventually solved the problem by setting no go zones on the map. U can name each room and set up scheduled days for it to run.  Some people said it vacuums only on certain days and than mops on others but I haven’t figured out how to set the different schedules so I just have it vacuum and mop Sunday Wednesday and Friday.  She talks a lot so if u have a house that’s only 1 story… I don’t suggest running it while u r sleeping.  I set her to run at 2:30pm on the days I know no one is home. I would suggest watching the cleaning videos on YouTube.  Every so often u will have to flip over the robot and clean out the hair buildup as well as wipe out the dock. My boyfriend wants to do that project every 2 weeks so that she stays shinny and new.  The directions show a picture of a faucet dropping tap water in the clean water tank.  I live in Florida and we have SUPER hard water down here.  Every 2 years I have to throw out my kitchen faucet bc the parts rot away.  I would suggest spending the money on a jug of distilled water, but u will only get about 2 washes per gallon. My boyfriend and I can’t believe how clean the floor is at the house.  The 1st time I just used water.  The second time I added the recommended cleaning solution found on Roborocks website.  It costs about $19 for the bottle but u only use about a cap full per full water tank.  The app is really easy to use and u can watch the robot go back and forth on the app.  It tells u how long it’s been running and the battery life. U also get a notification when it starts and finishes on ur cellphone. Some people said the dirty water tank can smell over time so when I return home each night I just dump it outside and rinse it out in the sink.  The directions state that u should only run the vacuum the 1st 3xs but I don’t c a vacuum only button on the main screen.  I only saw clean and when I pushed it off she went.  She vacuums in the front and mops in the back.  I thought she would vacuum the entire house 1st and than gonback over it and mop, but that’s not how it works.  I only have 2 small microfiber mats in my house. She does make them a little wet when she’s ing them but almost not enough to notice.  It does push those rugs around a little while it’s , so I the future I might stick them down or replace them with rugs that stick to the floor.  I did throw out 2 throw rugs bc the robot kept trying to clean them and they were just getting bunched up.  It went under my ikea cabinets bc they r all on stilts. I was sure that it wouldn’t fit but by golly she made it in and out without any trouble. The floor under my bed that was full of dust is now shinny, but to be fair I gave it a quick wipe b4 she started the master bedroom. My parents are now considering buying another company’s model bc I’m soooo happy with mine.  I did warn them that other reviews mentioned owning many other models over the years and felt like they wasted their money. I’m glad I decided to spend the money bc I love coming home to a spotless, shinny floor.  Hopefully having the floor cleaned more often will force me to keep the rest of the house cleaner.  Don’t wait just buy this product and make ur life a whole lot easier than it should be.  Give urself the chance to do something else with that 1 1/2 u r gonna gain not vacuuming and mopping ur house.  I have been telling all of my customers about my new toy and how much I deserved it.  1 lady told me she had a Roborock vacuum only model and that she loved it.  It is awesome that u can watch the mop on the app as it goes around ur house… everytime I get a notification that it is starting… I wait about 45 minutes and than I turn on the app to see what she has already accomplished and its invigorating.  Also all of the people I have spoken to who say they have a robotic vacuum/mop have NEVER and I repeat NEVER used the mopping function on their vacuum… and the reason…….bc they have to add an attachment to the robot to turn it into a mop… with the Roborock its already done for u.  All u have to do is add the water.  It fills itself.  It empties itself.  It cleans itself.  It never gets stuck.  It dries itself…. What are u people waiting for other than a sale… go buy this product today and wait the week for it to arrive so u can add precious time back to ur life!  It took me a couple of days to complete this review to make sure I got every positive thing I could remember about it.  I hope this review was helpful.
";5.0;B0BVB5PTDK
lizaq;The bomb!!!;Color: Black;Verified Purchase;December 10, 2023;United States;"
This vacuum is amazing so far! In anticipation of getting it, I got myself all worked up and stressed out about setting it up. It was so easy. Step by step guide and then an app. Once you unwrap it, you plug it in and then download the app. You’ll start out mapping your house. All you need to do is connect it to your internet and then you turn it on and let it go thru your house to get the full map. It does all the work!  After that you can go into each room on the map and create fake walls if you want it to avoid certain areas such as going under the bed. It got to the basement stairs and just backed up. Then I ran the first cleaning with both the vacuum and the mop with plain water. It mops and then it appears it dries as it goes. I’m not quite sure about that, but just know your floors are not soaking wet after it goes over it. No streaks and our hardwoods look beautiful! It went thru the whole house, but I noticed that it had only vacuumed one strip in the back bedroom so I was concerned. Well after it completed all of the mopping areas it went all the way back to the other side of the house and completed a full vacuum of that bedroom. Each time I think it’s going to miss a piece of fuzz or something else it goes back and gets it. I empty the dirty water bin and it’s disgusting! I can run it each day and the water is disgusting. How is that possible? Now I just added the concentrated soap that goes with it and there’s no smell at all and the water is even dirtier. You can set up schedules for vacuuming and mopping or just vacuuming. I let it run a full vacuum and mop twice a week at 10 am and then I set it on quiet mode and let it vacuum just the main areas of the house two days a week at 1 am. I love that you can pick which rooms you want done and what time. We can’t even hear it running. The vacuum seems to be pretty strong. However, I will say that on a couple areas of the living room hard wood floors, it’s not getting flush with all of the baseboards so there is a little dust remaining, but barely. So you still need to do a little bit of cleanup with maybe a swiffer. It comes with two bags for where the dirt goes when it’s emptied. I have no idea how long those will last, but I’m sure the app will tell me when it’s full. It did get hung up on one cord so far and got stuck under a chair, both times the app sends a notification. So far it’s been a great investment, which I got for $400 off during Black Friday week, so they do go on sale occasionally. Hope this review was helpful because these were some of my main questions.
";5.0;B0BVB5PTDK
ArynBergman;Not cheap but worth every penny;Color: Black;Verified Purchase;September 3, 2023;United States;"
Years ago I had tested a Roomba and was disappointed.  The Roborock S8 Pro Ultra is my first robot vacuum mop combo and I'm beyond impressed.Pros-Easy to use.-Works well.  I've inspected the floor after it was done cleaning with a UV flashlight and it picks up most plastic dust that would have been left behind by the other one.- The auto-mapping is awesome.-Ditto with the app.- Efficient.  Doesn't use much power, water, nor the cleaning solution (recommended too but not necessary)Cons- Doesn't get all of the plastic dust so there's room for improvement.- Pricey but again, worth it.- Kind of slow.  There's settings to speed it up but at the cost of the quality of cleaning.- Not as set it and forget it for 7 weeks like they advertise.  Its best to prep the area by setting chairs on tables and taking anything else that can be temporarily be moved off of the floor.  Not critical but goes faster and seems to do a better job.  The water needs to be refilled every couple of runs for about 1000 sq ft of tile floor.  The funk water should be dumped after every clean otherwise it can get pretty nasty quick.-Cords vs Roborock: cords win every time so be sure they're tucked away.Update: after about a month of use, the clean water tank started to grow mildew and smelled like a dirty fish tank.  Contacted Roborock support and they said to clean with citric acid water mix 1 tablespoon per cup of water) and that did the trick.  Cleaned the dirty water tank too with it.  Now, we only fill the tank enough to do a full cleaning, empty any remaining water along with the dirty water tank, and let them both air dry before closing.  So far so good.
";5.0;B0BVB5PTDK
In Awe;I absolutely L.O.V.E this Vacuum;Color: Black;Verified Purchase;August 14, 2023;United States;"
I waited for about 6 weeks to write this review because sometimes, a product works well at first but the more you use it the more you find its flaws!This vacuum is amazing!  I have 3 dogs and 3 kids and this vacuum helps keep me sane.  I run the vacuum and mop 4 days a week and just the vacuum 2 days.  The other day I sweep and mop myself.Pros:* Easy to set up and quickly mapped out my house.* Takes very little maintenance.  Just fill clean water and empty the dirty water every 3 or 4 days.  I had a Shark combo robot previously and it couldn't even get thru 1 cleaning without me having to manually add water.  If you leave the dirty water any longer than that it will smell.  I didn't notice it from the machine but when you empty it, you will smell it.  It has been 6 weeks and I have just today emptied the debris bag and I have 2 Aussies and a Golden Retriever that shed A LOT.* It really maintains itself, cleaning mop head every 15 minutes and self empties its dust bin. The Shark vacuum only self empties the dust bin if you are only vacuuming.  If you are using the combo vacuum/mop, EVERYTHING is manual for the Shark. Roborock rocks with this feature.  I do not have to do ANYTHING for days.* App is easy to use and makes suggestions for no go zones.* I can see what the vacuum is doing or any errors thru the app and sometimes can clear them remotely.Cons* Expensive but I think well worth the price* Like others have said, has a difficult time with cords, however, I bought cord organizers with boxes and ties from Amazon and fixed this issue.* Sometime gets stuck on my rug but usually I just start it again remotely and it unsticks itselfI was worried about spending so much for a vacuum/mop but I am in love with this.  I have had other robot vacuums and mops and this one is head and shoulders about the others.  I did NOT get anything for free either.  I paid full price for my Roborock.
";5.0;B0BVB5PTDK
J. Dyer;Clean floors and hyper accurate mapping;Color: White;Verified Purchase;February 9, 2024;United States;"
I’ve had many robot vacuums, high-end iRobot and Neato robots (until they totally lost the plot) and this one is by far the best yet.The mapping capabilities are outstanding: fully mapped 2400 sq feet in under 9 minutes and the map was perfect the first time. Unlike the iRobot mapping, the Roborock doesn’t make the maps worse with each clean, it only improves the maps with new detail (an open door for example).The quality of the cleaning, especially the mop is surprisingly good. Since it cleans the mop head it’s not just pushing around wet dirt. I’ve noticed a considerable improvement in cleanliness running the mopping nightly in my kitchen after dinner. The floor stays bright and clean. I have tile and it doesn’t do much on the grout, I can see it’s going to need to be manually cleaned but that’s trivial compared with o the overall clean of the floors.It does well on carpet too, and coping with area rugs. It’s sensitive to where a rug ends and turns on the mop when it’s off the rug. A complaint about vacuuming tiled areas is that it reduces the suction power and can miss bits between tile and a rug but it’s a minor complaint.I’ve owned the vacuum for 3 months and so far it’s been 100% reliable, it got stuck once on a cat toy, but avoided every other obstacle exceptionally well. There’s been very little wear on the wheels or brushes that I can see so far. I use both plain water and about half the time add cleaner to it. The cleaner is crazy concentrated so a bottle would last probably a year or more for me. Hopefully for the price this unit lasts for several years.I have my vacuum docked in a place that has carpet and found that it cannot realign on carpet well enough to dock to clean the mop. My solution was to put a board down and cover it with contact paper (to keep the minimal water off the board). My board extends one robot-length in front of the charging station and the robot can reposition itself for mop cleaning perfectly now. Something to consider if you can’t put the base on tile or wood floors.The app works well and is easy to use, no complaints there at all for usability but it sends a notice that a cleaning run was completed every time. This is silly, I only need to see a notice when there was a problem. It’s a minor annoyance but makes it harder to look through the message log for problems when it’s overwhelmed with trivial ‘successful’ messages. You can’t mute the voice prompts, but you can turn their volume way down.
";4.0;B0BVB5PTDK
Andrea Gonzalez;Great vacuum;Color: Black;Verified Purchase;January 21, 2024;United States;"
I bought this robot vac after my cleaning lady quit, as my white tile floor gets extremely dirty with 2 crazy shedding dogs (corgi and husky), a cat and 2 messy cooker humans.My parents had a 2020 iRobot vacuum and it was honestly very disappointing. It always got stuck in cliffs, constantly got lost, and always had errors preventing it from following the set schedule, so I was skeptical.I couldn’t be more happy with this purchase. It’s been just about two months of use, I run this almost everyday to keep the place presentable and I have yet to replace the dust bag (will probably be this week). It requires the perfect amount of work, and have only had to reboot maybe twice. I do regular vacuuming and mopping throughout the week with this thing with the deep+ option always on and never let it vac/mop simultaneously, I always have it do it separately. Once a week I remove items like chairs, trash cans, dog beds, dog crates, and any  other easily movable objects to other rooms to have it get the hairs that build up in random places.It usually does a great job at getting everything clean in the first go, although it does struggle a bit with tough stains in my kitchen, but spraying them with water before usually does the trick. I also like using the remote control option if it’s just not handling it correctly (takes 5min out of my time, and minimal physical effort.I refill and empty bins once or twice a week. And  remove any stuck hairs between brushes also once a week, i love how everything is easily removed.The only thing i hate is that rotating sweeping brush that’s on the side, because it bends due to it hitting walls and other objects. But it comes out brand new after putting the bristles in boiling water for a few seconds.Great purchase overall. It’s also very entertaining watching it clean. My cat has a vendetta against it, and is always taking it out of the base. A bit inconvenient with multiple level homes because you have to pick it up after it’s done. But that’s not the robot’s fault.
";5.0;B0BVB5PTDK
DizziD;A huge upgrade from the S5 and impressively hassle-free to use even in a 6k sqft house;Color: Black;Verified Purchase;May 11, 2023;United States;"
We decided to upgrade to the S8 Pro Max after using the S5 with great success for 3 years, and it basically took everything we liked about the predecessor and improved on it. As long as you're working within the type of environments that are good for floorbots (mostly hard floors and short rugs, and a reasonably controlled amount of clutter), this is the best one we've ever owned.Pros:- Initial mapping is VERY quick compared to previous versions- Slightly larger map/storage capacity for floorplans- Cleans faster and more effectively than the previous models- Very solid battery life for a very large house (650 sq feet takes about 25% of the battery and 1 hour)- Moderately quieter than predecessors- Mop cleaning system works very well and seems to eliminate the old ""dirty rag"" mopping approach- Good at avoiding things that will trip it up (rarely gets stuck - maybe once a month with daily use)- Dock system actually works and minimizes daily maintenance (the bin ends up surprisingly clean)- Doesn't seem to have any issues with pet hair (a German Shepherd and a Husky, so we're not messing around here!)- Locates missing shoesCons:- Dust bags will not last the implied month in a large house with pets and $5 a month in vacuum bags seems a bit much- App alerts to refill/empty dock bags and reservoirs would have been helpful- Don't let it near a shag rug. Ever.- Map management (especially initial room division) is still clunky, but is better than before.- The inability to rotate ""spot cleaning"" zones makes them a lot less useful unless your house is perfectly square and facing a cardinal direction (see pic)- Still can't save cleaning zones for areas that you regularly spot clean.Good to know:- Dusbtin emptying is very loud - not louder than a normal vacuum, and perfectly reasonable - but not something you want to do at night or during dinner.- Disable schedules if you have a sick pet - obstacle avoidance is great but it still can't detect a puddle of yacked-up kibble and will track it all over your house.- Even in a fairly clean home, frequent mop washing (the 20 minute default is pretty good) will still go through a lot of water - check the tanks often.- You may want to stock up on dust bags - with 2 dogs and running about 2 hours a day, we are going through a bag every other week. It does do an admirable job packing them full, though.
";5.0;B0BVB5PTDK
Jenniferc9695;Perfection Has Arrived;Color: Black;Verified Purchase;April 14, 2024;United States;"
I love my old Roborock. Actually it's not even super old. But with this S8 Pro Ultra, they have fixed a few things that drove me crazy.1- Black lines on the carpet are no longer mistaken as drop offs. My rugs have bold black lines in the pattern, and I almost got rid of them with the S7, even though I love them. With S7 I had to have my rugs blocked out as no go zones because machine was going to get ""stuck"" and call for help. You can imagine that with 3 dogs, this was aggravating. S8 goes right over the same lines without a problem.2- Automatic mop wash and dry, with onboard storage of both fresh and used mop water. With S7 I had to fill the water bin every day, and I felt I also needed to remove and scrub the mop pad.3- Smart threshold detection. I have a piece of trim running across the seam where my hardwood ends and kitchen tile begins. It isn't a huge height, but S7 fought with it and wasted a lot of energy and made a lot of noise trying to get over it. S8 kind of worked for it the first few cleanings- but then it sent me a notification. It had detected the ""threshold"". I verified the threshold location on the map, and whatever it does differently now is working. No more fights to get over the lip.S8 Pro Ultra is BIG because of the water storage tanks. But this was expected and is perfectly fine with me.Keep them coming Roborock! I just know that someday you'll have a robot vacuum who does stairs. Lol.
";5.0;B0BVB5PTDK
ctw;Works as stated;Color: Black;Verified Purchase;April 14, 2024;United States;"
Came on time, was well-packed, went together easily with clear instructions, and connected to wifi quickly. The app is very good, you can choose any days of the week and any time to run. We wanted every 3 days which was not an option as far as I can see, so picked 2 days a week. This does have the benefit of knowing which days to pick up a bit for the vac& mop. For example, moving a long hair throw rug we don't want vacuumed. Also, it got stuck in the forest of chair legs under a table one time, so now we'll move one or two chairs to make that navigation a bit easier. After buying this I read a review that pointed out that spinning mop heads clean better than this style, which is my only regret. But with only 2 adults in the house, the periodic wipe down from this large mop head is sufficient for us. For the ~1150 sq ft on our 1st floor, it does 5-7 mop cleans/ refills (yeah, same space, different runs). Sometimes it docks for a recharge at around 25% battery, sometimes it can finish w/o a recharge. Haven't seen where to change the recharge point as it gets very close to finishing every time (within 10%).
";5.0;B0BVB5PTDK
Heather;Super pleased with this product;Color: Black;Verified Purchase;May 4, 2024;United States;"
We have been faithful Roborock owners for years as we truly love all the products! We received our new Roborock and it was unfortunately malfunctioning shortly after we received it. The customer service was absolutely phenomenal in assisting with repairs and ultimately replacing for a brand new vacuum. We couldn’t be more pleased with the support we received. This vacuum does it all. The mop feature is the best of any vacuums we have owned and keeps our floors looking so fresh everyday! I love that it is rather self sufficient and can get through more than one mop cycle before needing fresh water refilled into the tank. The mapping is also great as it can detect obstacles and recognize flooring transitions easily. I look forward to coming home each day to clean floors! Would definitely purchase again!
";5.0;B0BVB5PTDK
