username;title;model;verified;date;region;text;stars;id
Jodi NY;love these cookies;0;Verified Purchase;April 2, 2024;United States;"
love these nutella cookies! crunchy, not too sweet and the nutella is soft but not drippy. the only problem is that the cookies tend to arrive mostly broken. they need some bubble wrap or something to cushion them during delivery. amazon ships them with any other stuff you order, and if you happen to have heavy items in your delivery, the cookies get crushed.
";5.0;B0C449R6PX
HappyShopper58;Nutella Cookies! YES PLEEZE!!;0;Verified Purchase;April 23, 2024;United States;"
I I didn't even know these existed. Somehow I accidentally ordered four bags. And I'm so glad I did! Freshly Incredible! Surprisingly big in size. A nice crunch, then Nutella richness ozzing from the cookie. Wow, a great value. OMG the best! Shhhh our secret!
";5.0;B0C449R6PX
Jewels;Buy them in the store;0;Verified Purchase;March 25, 2024;United States;"
I first tried these in Mexico last year (2023) & absolutely fell in love. The taste and texture is fantastic!  I came across them here & was excited to try them again.  They were just as delicious as the ones I got in Mexico EXCEPT….many were broken into crumbs. The Amazon shipping process just isn’t conducive to shipping a delicate cookie in a bag & have it arrive in satisfactory condition.I didn’t take off any points for that because it’s not reflective of the actual product.I hope this review helps
";5.0;B0C449R6PX
Zachary and Hallie Goodman;Delicious 😋;0;Verified Purchase;March 23, 2024;United States;"
The biscuits are perfect for the whole family. They make a great treat to go in lunches or as a snack while studying,  at work, at the park, or  really any time. There is a good amount of biscuits in the bag and they are a decent size. Most of them came intact in the bag. They are great with coffee, Chai new, hot cocoa, or with cold milk of any type. Each cookie has 1 gram of protein in each, only has 5 grams of sugar and 70 calories per cookie. Delicious and not over the top with sweetness. These do contain wheat so they are not gluten free, if you or someone was looking for that option.
";5.0;B0C449R6PX
jillshill;Yummm!;0;Verified Purchase;May 3, 2024;United States;"
I love Nutella and the combination of Nutella with a biscuit like cookie is perfect. Not perfect is the way too many broken cookies in each bag. I could never plan on serving these to company unless I bought 3-4 times as many bags as needed … which I won’t do. Lost one star due to high number of broken pieces. Would have lost more than one star but the taste is so good, I feel generous about rating it.
";4.0;B0C449R6PX
Jess G.;Delicious biscuit cookie with a well of creamy chocolate;0;Verified Purchase;April 12, 2024;United States;"
The cookies arrived in good shape, all in tact.  Some reviews made me think they may arrive as a bag of crumbs, but this was not the case for me.  They are a shortbread cookie type of base with a creamy ganache-like center.  They are really good, nice textured cookie and nice textured filling.  I’m glad I found these, as I will be buying them again.  Would recommend.
";5.0;B0C449R6PX
Paul Schilperoort;Best flavor! So good and fresh.;0;Verified Purchase;May 8, 2024;United States;"
Great value! These are my new favorites, fresh and really good flavor.
";5.0;B0C449R6PX
Anne;Crisp cookies with full Nutella goodness;0;Verified Purchase;April 29, 2024;United States;"
I love these so much I’ve been giving them as special gifts. Crisp shortbread-like cookie envelops the tender hazelnut chocolate filling—so rich and satisfying!
";5.0;B0C449R6PX
Keara;I keep buying these for my kid and eating them myself;0;Verified Purchase;April 2, 2024;United States;"
We are definitely a Nutella fam, so when I saw these, I had to order them for my son!! The first time I ordered them, I wanted to try one before I gave them to him, and accidentally ate the whole bag over a single day of him being at school and me being off work.To make it up to him, I ordered them again-this time for his Easter basket-and while I was building his Easter basket, I just couldn’t resist, so I took them out and kept it for me.They literally have never even made it into my snack cabinet-they are on my nightstand in my room!!! Between the amount of these I will end up buying-as well as my monthly gym membership to maintain the body I had before discovering these-I’m sure at some point I may have to control myself, but for now, I will keep ordering these weekly and maybe one day let my kid try one.
";5.0;B0C449R6PX
AJ;Thank goodness these were created;0;Verified Purchase;May 9, 2024;United States;"
is the nutella in these of better quality than what is in the jars? why are these so good? why do these taste like heavenly silk? why do I keep buying them every couple days? please don't ever discontinue these. thanks
";5.0;B0C449R6PX
steven d. frederick;Order them with soft/light products.;0;Verified Purchase;May 8, 2024;United States;"
These things are great. Too bad they tossed them loosely in a box with an 8 pack pf Dinty Moore stew. Guess who won the shipping war...
";5.0;B0C449R6PX
CJ Keane;Dangerously good;0;Verified Purchase;April 23, 2024;United States;"
I noticed some people wrote that the cookies were all broken on arrival. Mine were packaged with cushioning, and they were all whole. (Your warehouse may vary.)Damn, these are good. It took some restraint not to eat them all the day they arrived. Probably going on the Special Occasions Only list from now on, lol.
";5.0;B0C449R6PX
Tara;Customer pmo;0;Verified Purchase;April 24, 2024;United States;"
This is my new favorite snack. I work at an Amazon warehouse and packed these all day so figured I’d try it and I’m in love. I love how cheap it is for one bag too… hopefully this stays lowkey and the prices don’t increase/ it gets sold out a lot
";5.0;B0C449R6PX
Ashley H.;Yuuummyyy!;0;Verified Purchase;May 2, 2024;United States;"
These are so good! I just wish that there where more in the bag or that they where cheaper to buy. I cant get enough of them there the best cookies I've had in a while.
";4.0;B0C449R6PX
