username;title;model;verified;date;region;text;stars;id
Amazon Customer;Simple, easy to use trimmer that does the job ...;0;Verified Purchase;April 1, 2024;United States;"
The trimmer is light weight, and easy to manage, even by a child or small adult. The design includes two adjustment mechanisms for the angle of the head and handle, to accommodate pretty much any body type - without using any tools. Just ""click"" and change! The entire shaft also rotates to turn the trimmer into an edger, if you want to use it like that. Although it works fine for regular grass, and very thin woody stems, you might like to get a more powerful ""commercial"" unit if you expect more. The two batteries are a nice touch - this feature allows you to work continuously, because you can quickly charge one while the other is being used. They batteries charge VERY fast! It is also nice that several spools of pre-wound line are included, so you will have plenty of line for months of use - without ever having to buy any line for refills. Initial assembly was quite simple, and I only had to look up one part, to see how it fit together with the rest. Ready to go in 5-10 minutes. Uncomplicated. I like it!
";5.0;"B0CRRDN82M
"
Odious Yak;Great weed wacker/trimmer. I would purchase again!;0;Verified Purchase;March 23, 2024;United States;"
Initially skeptical about replacing my gas-powered edger with this weed wacker, but I was quickly converted by its exceptional performance. Its lightweight design and maneuverable/rotatable head make trimming and edging around my garden/driveway a fairly effortless task. The intuitive controls and automatic line feed function make it very easy to use.The battery life is actually great. One charge allows me two full cuts and then some, definitely surpassing my expectations, essentially rendering my gas-powered edger obsolete. This is a bit quieter than expected as well. You still hear the weeds and grass being cut, but it's nice not to deal with the loud gas trimmer.Overall, it's very efficient and highly effective for maintaining my yard. I would absolutely purchase it again.Update: just trimmed down an over grown garden and edged something that I thought was doomed. This thing is great.
";5.0;"B0CRRDN82M
"
Venkateswaran;Efficient and versatile;0;Verified Purchase;March 20, 2024;United States;"
This cordless trimmer is fantastic! It's quick to charge, has a sleek design, and arrived promptly. Not only is it a trimmer, but it also effortlessly transitions into an edger with a simple head rotation. The addition of a wheel facilitates smooth switching between trimming and edging, while the spacer guard protects plants and landscaping. With two lithium-ion batteries and a fast charger, I get 60 minutes of uninterrupted work time, ample for all my yard tasks. Its ergonomic design, including adjustable cutting head and handle, ensures comfort and control. Maneuvering around tight spots and edges is a breeze thanks to its features.
";5.0;"B0CRRDN82M
"
Maziere;A great string trimmer for the price!;0;Verified Purchase;April 9, 2024;United States;"
This string trimmer is exactly what I needed. It is light weight and easy to handle, and the trimming is efficient and precise. Construction quality is good for the price. It is a fabulous value when you add the fact that it comes with 2 batteries which provide ample time to get the job done, and a many replacement spools. Overall, you can only be pleased by this purchase! Highly recommended.
";5.0;"B0CRRDN82M
"
Hollis cowgill;was easy to assemble , batteries last longer than i do. very light weight and easy to handle;0;Verified Purchase;April 29, 2024;United States;"
have a large yard with lots of trimming. worked great , the first time . will see how long it keeps doing that.
";4.0;"B0CRRDN82M
"
Aaron C;Great Trimmer - cool edging wheel;0;Verified Purchase;March 29, 2024;United States;"
Sweet trimmer! It comes with two batteries and charger. Super quick setup, took me just a couple minutes to have it all ready to go. I actually would skip putting the metal guard on the front of it - it prevents me from being able to get right up where my grass meets some landscaping rocks that I have.As far as trimming ability, it trims just fine - better than one I had for many years that I bought at a box store. My favorite feature is the rolling wheel for eding along the curb - you use that and can also adjust the head so it's the right position to trip while still holding it upright. Works great!! I didn't blow away the dust/debris yet with my blower, but the line is very clean.
";5.0;"B0CRRDN82M
"
AmazonToast;A great weed whacker for your lawn arsenal;0;Verified Purchase;March 29, 2024;United States;"
This string trimmer has been a great addition to my bag of tricks as spring kicks into full gear. I have always been a gas weed whacker kind of guy but after the third season in a row of refusing to start, despite having done all the maintenance on it last fall for storage, I was fed up. Time to go electric. This string trimmer spoke to me for 2 reasons: One was the two batteries that come by default. Lots of companies send one or even 0 batteries with their devices and wouldn't you know that they are the same price as the actual tool! Two batteries is an absolute must for gardening applications because if it dies on you half way through you know you have the other one on the charger ready to go.The second thing is the second retaining clip. This seems like a bit of an odd thing to point out but having used string trimmers for my whole life I can tell you that retaining clip, the part that holds your reel of string in place sees a lot of abuse. The clips hit rocks, metal pipes, get bumped or dropped etc. Once they break they can be hard to find replacements. This product comes with an extra one which I think shows how much thought they put into this product. Good call.Assembly was easy, no tools are required to get up and running. A reel of string comes pre-installed which is a nice touch and a handy length guide for the string is right on the guard. You will not find better battery life for this price point; but with the dual batteries I think that is a non-issue. I posted a picture of all the extras that this product comes with because quite honestly this product comes with everything you need to start whacking with lots of reels for backup. I'm pretty sure there is enough line here to mow my 3 acres outright, but I'll leave that experiment for a different review.
";5.0;"B0CRRDN82M
"
Yerocasil;Lightweight, light to medium duty residential trimmer;0;Verified Purchase;May 3, 2024;United States;"
I've really enjoyed this versatile and lightweight trimmer so far.  It was very easy to assemble and it's a breeze to adjust.  I didn't end up installing the metal edge guard, as I like to turn the trimmer sideways to edge the driveway and sidewalks.  The roller on the edge makes this job less stressful on the back (see image).  I appreciated that 2 batteries were included, as well as 6 preloaded string spools and an extra spool cap.  As some other reviewers mentioned, this is a residential trimmer, intended for light to medium work.  It isn't going to topple small saplings or anything.  However, I prefer it to my larger trimmer for the majority of my yardwork as it is much kinder to my back!
";5.0;"B0CRRDN82M
"
Kathy E.;So far so good;0;Verified Purchase;May 4, 2024;United States;"
I’m a little concerned about longevity with this weed eater. It seems a bit flimsy. I will not try to use it in really weedy, tall grass situations. Will pull out the big guys for that. This one is perfectly fine for everyday trimming around bushes, fence posts, patios, sidewalks though. I have used it for some simple edging where it’s been edged previously. It fulfills what I needed it for.
";4.0;"B0CRRDN82M
"
David Bergeron;Powerful, lightweight, and Ergonomic;0;Verified Purchase;April 1, 2024;United States;"
I recently purchased this after my gas powered trimmer died.  I was a bit skeptical about going to a battery operated trimmer, but I must say, I wish I switched sooner.  This trimmer is so much easier to handle.  The weighting of it is better than my old trimmer and it has plenty of power and battery life.  I have about 1/3 of an acre to maintain, trimming around the perimiter of my yard and house, and edging around the driveway and sidewalk.  I love how this trimmer rotates and has a wheel to make edging simple.  It used to be so much harder to edge with my gas trimmer, trying to hold it the right height and after a while, the weight became an issue.  With all the extra spools (8 of them), you won't have to worry about running out of string in the middle of doing your yard.  No more buying gas and mixing in oil.  I definitely recommend anyone in the market for a new trimmer to go battery powered and give this one a try.
";5.0;"B0CRRDN82M
"
